grid_name,weekly_capacity,alpha,value_of_dynamic_optimization,relative_VDO,dynamic_active_product_set,myopic_active_product_set,active_set_changed,active_set_symmetric_difference,product_promotion_count_disagreement,product_week_timing_disagreement,dynamic_binding_weeks,myopic_binding_weeks,dynamic_supported_share,myopic_supported_share,decision_horizon,washout_horizon,evaluation_horizon
empirical_w6,1,1.2,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0,12,6,18
empirical_w6,1,1.25,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0,12,6,18
empirical_w6,1,1.3,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0,12,6,18
empirical_w6,1,1.35,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0,12,6,18
empirical_w6,1,1.4,3.409399122715058,0.0013222224581306483,,3800000110,True,1,4,4,0,4,1.0,1.0,12,6,18
empirical_w6,1,1.45,2.386677948196848,0.0009252269734126554,,3800000110,True,1,4,4,0,4,1.0,1.0,12,6,18
empirical_w6,1,1.5,1.3639567736786375,0.000528546158538394,,3800000110,True,1,4,4,0,4,1.0,1.0,12,6,18
empirical_w6,1,1.55,0.39845136940448356,0.00015434250854365995,3800000110,3800000110,False,0,3,5,1,4,1.0,1.0,12,6,18
empirical_w6,1,1.6,0.14697514088948083,5.6909150293186005e-05,3800000110,3800000110,False,0,0,8,4,4,1.0,1.0,12,6,18
empirical_w6,1,1.65,0.1428422671547196,5.5285256960851926e-05,3800000110|3800000120,3800000110|3800000120,False,0,1,9,7,8,1.0,1.0,12,6,18
empirical_w6,1,1.7,0.08797849472330199,3.387062796169921e-05,3800000110|3800000120,3800000110|3800000120,False,0,0,10,8,8,1.0,1.0,12,6,18
empirical_w6,1,1.75,0.08245361467197654,3.1551531730456585e-05,3800000110|3800000120,3800000110|3800000120,False,0,0,10,8,8,1.0,1.0,12,6,18
empirical_w6,1,1.8,0.07692873462065108,2.9260333175464822e-05,3800000110|3800000120,3800000110|3800000120,False,0,0,10,8,8,1.0,1.0,12,6,18
empirical_w6,1,1.85,7.081480129796091,0.0026844956486898994,3800000110|3800000120,1600066510|3800000110|3800000120,True,1,4,12,8,12,1.0,0.6666666666666666,12,6,18
empirical_w6,1,1.9,1.028538507859139,0.0003866990096650276,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,3,13,9,12,1.0,1.0,12,6,18
empirical_w6,1,1.95,0.1200144701406316,4.461948783935456e-05,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,16,12,12,1.0,1.0,12,6,18
empirical_w6,1,2.0,0.054438500403648504,2.0016558305973724e-05,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,16,12,12,1.0,1.0,12,6,18
empirical_w6,1,2.05,0.0,0.0,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,0,12,12,1.0,1.0,12,6,18
empirical_w6,1,2.1,0.0,0.0,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,0,12,12,1.0,1.0,12,6,18
empirical_w6,1,2.15,0.0,0.0,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,0,12,12,1.0,1.0,12,6,18
empirical_w6,1,2.2,0.0,0.0,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,0,12,12,1.0,1.0,12,6,18
empirical_w6,1,2.24,0.0,0.0,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,0,12,12,1.0,1.0,12,6,18
empirical_w6,1,2.25,5.33615577101682,0.0018631546787232253,1600066510|3800000110|3800000120,1600066510|3800000120|3800000127,True,2,8,8,12,12,1.0,1.0,12,6,18
empirical_w6,1,2.3,0.14554691044759238,5.0185809218512906e-05,1600066510|3800000110|3800000120|3800000127,1600066510|3800000120|3800000127,True,1,2,6,12,12,1.0,1.0,12,6,18
empirical_w6,1,2.35,0.0,0.0,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,False,0,0,0,12,12,1.0,1.0,12,6,18
empirical_w6,1,2.4,0.0,0.0,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,False,0,0,0,12,12,1.0,1.0,12,6,18
empirical_w6,1,2.45,0.0,0.0,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,False,0,0,0,12,12,1.0,1.0,12,6,18
empirical_w6,1,2.5,0.0,0.0,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,False,0,0,0,12,12,1.0,1.0,12,6,18
