grid_name,weekly_capacity,alpha,policy,upc,product_name,value,promotion_count,total_depth,schedule_supported
supported,1,1.2,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.2,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.2,dynamic,3800000120,3800000120,168.6797027587895,0,0.0,True
supported,1,1.2,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.2,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.2,dynamic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.2,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.2,dynamic,3800000110,3800000110,109.29181671142571,0,0.0,True
supported,1,1.2,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.2,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.2,myopic,3800000120,3800000120,168.6797027587895,0,0.0,True
supported,1,1.2,myopic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.2,myopic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.2,myopic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.2,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.2,myopic,3800000110,3800000110,109.29181671142571,0,0.0,True
supported,1,1.25,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.25,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.25,dynamic,3800000120,3800000120,168.6797027587895,0,0.0,True
supported,1,1.25,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.25,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.25,dynamic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.25,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.25,dynamic,3800000110,3800000110,109.29181671142571,0,0.0,True
supported,1,1.25,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.25,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.25,myopic,3800000120,3800000120,168.6797027587895,0,0.0,True
supported,1,1.25,myopic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.25,myopic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.25,myopic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.25,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.25,myopic,3800000110,3800000110,109.29181671142571,0,0.0,True
supported,1,1.3,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.3,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.3,dynamic,3800000120,3800000120,168.6797027587895,0,0.0,True
supported,1,1.3,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.3,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.3,dynamic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.3,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.3,dynamic,3800000110,3800000110,109.29181671142571,0,0.0,True
supported,1,1.3,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.3,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.3,myopic,3800000120,3800000120,168.6797027587895,0,0.0,True
supported,1,1.3,myopic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.3,myopic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.3,myopic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.3,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.3,myopic,3800000110,3800000110,109.29181671142571,0,0.0,True
supported,1,1.35,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.35,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.35,dynamic,3800000120,3800000120,168.6797027587895,0,0.0,True
supported,1,1.35,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.35,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.35,dynamic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.35,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.35,dynamic,3800000110,3800000110,109.29181671142571,0,0.0,True
supported,1,1.35,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.35,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.35,myopic,3800000120,3800000120,168.6797027587895,0,0.0,True
supported,1,1.35,myopic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.35,myopic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.35,myopic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.35,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.35,myopic,3800000110,3800000110,109.29181671142571,0,0.0,True
supported,1,1.4,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.4,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.4,dynamic,3800000120,3800000120,168.6797027587895,0,0.0,True
supported,1,1.4,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.4,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.4,dynamic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.4,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.4,dynamic,3800000110,3800000110,109.33533321189881,1,0.09,True
supported,1,1.4,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
