alpha,policy,category_value,promotion_count,total_discount_depth,maximum_weekly_promotions,slot_utilization,supported_product_schedule_share
2.1,dynamic,1868.9877746869709,12,3.5999999999999996,2,0.5,0.3333333333333333
2.1,myopic,1865.4730637380267,12,3.5999999999999996,2,0.5,0.3333333333333333
2.11,dynamic,1871.88761463429,12,3.5999999999999996,2,0.5,0.3333333333333333
2.11,myopic,1868.3748802938128,12,3.5999999999999996,2,0.5,0.3333333333333333
2.12,dynamic,1874.787454581609,12,3.5999999999999996,2,0.5,0.3333333333333333
2.12,myopic,1866.1721257400498,16,4.8,2,0.6666666666666666,0.25
2.13,dynamic,1877.687294528928,12,3.5999999999999996,2,0.5,0.3333333333333333
2.13,myopic,1869.641523170867,16,4.8,2,0.6666666666666666,0.25
2.14,dynamic,1880.587134476247,12,3.5999999999999996,2,0.5,0.3333333333333333
2.14,myopic,1873.1109206016845,16,4.8,2,0.6666666666666666,0.25
2.15,dynamic,1883.486974423566,12,3.5999999999999996,2,0.5,0.3333333333333333
2.15,myopic,1876.5803180325015,16,4.8,2,0.6666666666666666,0.25
2.16,dynamic,1886.386814370885,12,3.5999999999999996,2,0.5,0.3333333333333333
2.16,myopic,1880.049715463319,16,4.8,2,0.6666666666666666,0.25
2.17,dynamic,1889.2866543182042,12,3.5999999999999996,2,0.5,0.3333333333333333
2.17,myopic,1883.519112894136,16,4.8,2,0.6666666666666666,0.25
2.18,dynamic,1892.2665922898916,13,3.9000000000000004,2,0.5416666666666666,0.25
2.18,myopic,1886.9885103249537,16,4.8,2,0.6666666666666666,0.25
2.19,dynamic,1895.306611258092,13,3.9000000000000004,2,0.5416666666666666,0.25
2.19,myopic,1890.457907755771,16,4.8,2,0.6666666666666666,0.25
2.2,dynamic,1898.346630226293,13,3.9000000000000004,2,0.5416666666666666,0.25
2.2,myopic,1893.927305186588,16,4.8,2,0.6666666666666666,0.25
2.21,dynamic,1901.3866491944937,13,3.9000000000000004,2,0.5416666666666666,0.25
2.21,myopic,1897.3967026174055,16,4.8,2,0.6666666666666666,0.25
2.22,dynamic,1904.4981613676216,14,4.2,2,0.5833333333333334,0.25
2.22,myopic,1900.8661000482225,16,4.8,2,0.6666666666666666,0.25
2.23,dynamic,1907.824512517912,16,4.8,2,0.6666666666666666,0.25
2.23,myopic,1904.3354974790398,16,4.8,2,0.6666666666666666,0.25
2.24,dynamic,1911.291933340262,16,4.8,2,0.6666666666666666,0.25
2.24,myopic,1907.8048949098572,16,4.8,2,0.6666666666666666,0.25
2.25,dynamic,1914.759354162612,16,4.8,2,0.6666666666666666,0.25
2.25,myopic,1911.2742923406745,16,4.8,2,0.6666666666666666,0.25
2.26,dynamic,1918.2267749849623,16,4.8,2,0.6666666666666666,0.25
2.26,myopic,1914.743689771492,16,4.8,2,0.6666666666666666,0.25
2.27,dynamic,1921.6941958073126,16,4.8,2,0.6666666666666666,0.25
2.27,myopic,1918.2130872023092,16,4.8,2,0.6666666666666666,0.25
2.28,dynamic,1925.1616166296628,16,4.8,2,0.6666666666666666,0.25
2.28,myopic,1921.6824846331265,16,4.8,2,0.6666666666666666,0.25
2.29,dynamic,1928.6290374520127,16,4.8,2,0.6666666666666666,0.25
2.29,myopic,1925.1518820639437,16,4.8,2,0.6666666666666666,0.25
2.3,dynamic,1932.0964582743632,16,4.8,2,0.6666666666666666,0.25
2.3,myopic,1928.621279494761,16,4.8,2,0.6666666666666666,0.25
2.31,dynamic,1935.5638790967134,16,4.8,2,0.6666666666666666,0.25
2.31,myopic,1932.0906769255785,16,4.8,2,0.6666666666666666,0.25
2.32,dynamic,1939.0312999190633,16,4.8,2,0.6666666666666666,0.25
2.32,myopic,1935.5600743563955,16,4.8,2,0.6666666666666666,0.25
2.33,dynamic,1942.4987207414135,16,4.8,2,0.6666666666666666,0.25
2.33,myopic,1939.029471787213,16,4.8,2,0.6666666666666666,0.25
2.34,dynamic,1945.9661415637638,16,4.8,2,0.6666666666666666,0.25
2.34,myopic,1942.4988692180298,16,4.8,2,0.6666666666666666,0.25
2.35,dynamic,1949.433562386114,16,4.8,2,0.6666666666666666,0.25
2.35,myopic,1945.9682666488475,16,4.8,2,0.6666666666666666,0.25
2.36,dynamic,1952.9009832084641,16,4.8,2,0.6666666666666666,0.25
2.36,myopic,1949.4376640796645,16,4.8,2,0.6666666666666666,0.25
2.37,dynamic,1956.3684040308144,16,4.8,2,0.6666666666666666,0.25
2.37,myopic,1952.907061510482,16,4.8,2,0.6666666666666666,0.25
2.38,dynamic,1959.8358248531645,16,4.8,2,0.6666666666666666,0.25
2.38,myopic,1956.3764589412992,16,4.8,2,0.6666666666666666,0.25
2.39,dynamic,1963.3032456755147,16,4.8,2,0.6666666666666666,0.25
2.39,myopic,1959.8458563721165,16,4.8,2,0.6666666666666666,0.25
2.4,dynamic,1966.770666497865,16,4.8,2,0.6666666666666666,0.25
2.4,myopic,1963.315253802934,16,4.8,2,0.6666666666666666,0.25
2.41,dynamic,1970.238087320215,16,4.8,2,0.6666666666666666,0.25
2.41,myopic,1966.784651233751,16,4.8,2,0.6666666666666666,0.25
2.42,dynamic,1973.7055081425653,16,4.8,2,0.6666666666666666,0.25
2.42,myopic,1970.2540486645685,16,4.8,2,0.6666666666666666,0.25
2.43,dynamic,1977.1729289649159,16,4.8,2,0.6666666666666666,0.25
2.43,myopic,1973.723446095386,16,4.8,2,0.6666666666666666,0.25
2.44,dynamic,1980.640349787266,16,4.8,2,0.6666666666666666,0.25
2.44,myopic,1963.1246790985415,20,6.0,2,0.8333333333333334,0.2
2.45,dynamic,1984.1077706096157,16,4.8,2,0.6666666666666666,0.25
2.45,myopic,1967.2956181817044,20,6.0,2,0.8333333333333334,0.2
2.46,dynamic,1987.575191431966,16,4.8,2,0.6666666666666666,0.25
2.46,myopic,1971.466557264867,20,6.0,2,0.8333333333333334,0.2
2.47,dynamic,1991.0426122543165,16,4.8,2,0.6666666666666666,0.25
2.47,myopic,1975.6374963480303,20,6.0,2,0.8333333333333334,0.2
2.48,dynamic,1994.5100330766663,16,4.8,2,0.6666666666666666,0.25
2.48,myopic,1979.8084354311934,20,6.0,2,0.8333333333333334,0.2
2.49,dynamic,1997.9774538990166,16,4.8,2,0.6666666666666666,0.25
2.49,myopic,1983.4531633441916,20,6.0,2,0.8333333333333334,0.2
2.5,dynamic,2001.4448747213667,16,4.8,2,0.6666666666666666,0.25
2.5,myopic,1987.625466035206,20,6.0,2,0.8333333333333334,0.2
