grid_name,weekly_capacity,alpha,value_of_dynamic_optimization,relative_VDO,dynamic_active_product_set,myopic_active_product_set,active_set_changed,active_set_symmetric_difference,product_promotion_count_disagreement,product_week_timing_disagreement,dynamic_binding_weeks,myopic_binding_weeks,dynamic_supported_share,myopic_supported_share,decision_horizon,washout_horizon,evaluation_horizon,VDO_no_washout,VDO_change_from_no_washout
empirical_w0,1,2.24,1.4386499682107114,0.0007075031406912078,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,16,12,12,1.0,1.0,12,0,12,1.4386499682107114,0.0
empirical_w0,2,2.24,4.837896921920219,0.0023701889832863023,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,14,6,8,1.0,1.0,12,0,12,4.837896921920219,0.0
empirical_w0,3,2.24,5.576558894602385,0.002732305781500766,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,20,2,4,1.0,1.0,12,0,12,5.576558894602385,0.0
empirical_w0,8,2.24,6.582762689208266,0.003226270985056086,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,20,0,0,1.0,1.0,12,0,12,6.582762689208266,0.0
empirical_w4,1,2.24,0.0,0.0,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,0,12,12,1.0,1.0,12,4,16,1.4386499682107114,-1.4386499682107114
empirical_w4,2,2.24,0.6661367916740346,0.0002565789268548805,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,12,6,8,1.0,1.0,12,4,16,4.837896921920219,-4.171760130246184
empirical_w4,3,2.24,0.7622301016490383,0.00029359416106266884,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,20,2,4,1.0,1.0,12,4,16,5.576558894602385,-4.814328792953347
empirical_w4,8,2.24,0.8528706575389151,0.0003285160639458535,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,18,0,0,1.0,1.0,12,4,16,6.582762689208266,-5.729892031669351
empirical_w6,1,2.24,0.0,0.0,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,0,12,12,1.0,1.0,12,6,18,1.4386499682107114,-1.4386499682107114
empirical_w6,2,2.24,0.44236386355532886,0.0001540891702601742,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,12,6,8,1.0,1.0,12,6,18,4.837896921920219,-4.39553305836489
empirical_w6,3,2.24,0.5067182175548623,0.000176506068532633,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,20,2,4,1.0,1.0,12,6,18,5.576558894602385,-5.069840677047523
empirical_w6,8,2.24,0.557087536151812,0.00019405336187773296,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,18,0,0,1.0,1.0,12,6,18,6.582762689208266,-6.025675153056454
