alpha,policy,mean_profit,p10_profit,mean_regret,p90_regret,maximum_regret,mean_promotion_count,mean_promotion_depth,promotion_DGP_share,median_first_promotion_week
0.0,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.15,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.15,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.15,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.3,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.3,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.3,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.35,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.35,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.35,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.45,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.45,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.45,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.55,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.55,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.55,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.6,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.6,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.6,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.65,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.65,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.65,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.7,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.7,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.7,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.8,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.8,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.8,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.85,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.85,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.85,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.9,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.9,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.9,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.95,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.95,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
0.95,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.05,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.05,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.05,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.1,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.1,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.1,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.15,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.15,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.15,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.2,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
