week,dynamic_profit,myopic_profit,vdo_contribution,cumulative_vdo,decision_week,alpha,capacity,washout_horizon
1,158.50314572010907,158.55129368779754,-0.04814796768846463,-0.04814796768846463,True,1.4,1,12
2,155.5875812013029,155.2005276763154,0.38705352498749335,0.3389055572990287,True,1.4,1,12
3,117.53987570350206,117.41662268432783,0.12325301917422848,0.4621585764732572,True,1.4,1,12
4,126.9679012648414,126.92743622168337,0.04046504315803645,0.5026236196312936,True,1.4,1,12
5,157.90238197619894,157.4579418642115,0.44444011198743283,0.9470637316187265,True,1.4,1,12
6,155.00606431663257,154.7942795326229,0.21178478400966583,1.1588485156283923,True,1.4,1,12
7,152.4136560451378,152.322829373471,0.0908266716668038,1.249675187295196,True,1.4,1,12
8,148.8039656999684,148.3321980110409,0.47176768892748555,1.7214428762226817,True,1.4,1,12
9,140.96011668085495,140.73128484253806,0.2288318383168928,1.9502747145395745,True,1.4,1,12
10,140.32974009545734,140.21972253920723,0.11001755625011356,2.060292270789688,True,1.4,1,12
11,142.48619888697212,142.02400256513042,0.46219632184170223,2.5224885926313902,True,1.4,1,12
12,144.14730331340456,143.90582727914347,0.24147603426109754,2.763964626892488,True,1.4,1,12
13,149.99473925413966,149.81998995144323,0.1747493026964264,2.938713929588914,False,1.4,1,12
14,147.037916358144,146.90457587026438,0.1333404878796216,3.072054417468536,False,1.4,1,12
15,143.5756821090128,143.4726363696613,0.10304573935150074,3.1751001568200365,False,1.4,1,12
16,140.30137362481025,140.2188917505519,0.08248187425834885,3.2575820310783854,False,1.4,1,12
17,125.70939827137677,125.6420788312831,0.06731944009366941,3.324901471172055,False,1.4,1,12
18,112.67571909826819,112.62023308613155,0.055486012136640284,3.380387483308695,False,1.4,1,12
19,111.50634076879713,111.46046025974715,0.04588050904997942,3.4262679923586745,False,1.4,1,12
20,108.5621490354334,108.51293734290383,0.049211692529567586,3.475479684888242,False,1.4,1,12
21,124.32730428884173,124.27087142638062,0.0564328624611079,3.53191254734935,False,1.4,1,12
22,130.30424561983534,130.25009225819417,0.054153361641169795,3.58606590899052,False,1.4,1,12
23,133.2649806787761,133.21451250671993,0.05046817205618481,3.6365340810467046,False,1.4,1,12
24,134.67243143352135,134.6253243423257,0.047107091195641715,3.6836411722423463,False,1.4,1,12
1,158.50314572010907,158.82795799193562,-0.32481227182654493,-0.32481227182654493,True,1.45,1,12
2,155.5875812013029,155.2005276763154,0.38705352498749335,0.06224125316094842,True,1.45,1,12
3,117.53987570350206,117.41662268432783,0.12325301917422848,0.1854942723351769,True,1.45,1,12
4,126.9679012648414,127.13746485915061,-0.16956359430920998,0.015930678025966927,True,1.45,1,12
5,157.90238197619894,157.4579418642115,0.44444011198743283,0.46037079001339976,True,1.45,1,12
6,155.00606431663257,154.7942795326229,0.21178478400966583,0.6721555740230656,True,1.45,1,12
7,152.4136560451378,152.5857955908928,-0.17213954575498747,0.5000160282680781,True,1.45,1,12
8,148.8039656999684,148.3321980110409,0.47176768892748555,0.9717837171955637,True,1.45,1,12
9,140.96011668085495,140.73128484253806,0.2288318383168928,1.2006155555124565,True,1.45,1,12
10,140.32974009545734,140.46814187050248,-0.13840177504513917,1.0622137804673173,True,1.45,1,12
11,142.48619888697212,142.02400256513042,0.46219632184170223,1.5244101023090195,True,1.45,1,12
12,144.14730331340456,143.90582727914347,0.24147603426109754,1.765886136570117,True,1.45,1,12
13,149.99473925413966,149.81998995144323,0.1747493026964264,1.9406354392665435,False,1.45,1,12
14,147.037916358144,146.90457587026438,0.1333404878796216,2.073975927146165,False,1.45,1,12
15,143.5756821090128,143.4726363696613,0.10304573935150074,2.177021666497666,False,1.45,1,12
16,140.30137362481025,140.2188917505519,0.08248187425834885,2.2595035407560147,False,1.45,1,12
17,125.70939827137677,125.6420788312831,0.06731944009366941,2.326822980849684,False,1.45,1,12
18,112.67571909826819,112.62023308613155,0.055486012136640284,2.3823089929863244,False,1.45,1,12
19,111.50634076879713,111.46046025974715,0.04588050904997942,2.428189502036304,False,1.45,1,12
20,108.5621490354334,108.51293734290383,0.049211692529567586,2.4774011945658714,False,1.45,1,12
21,124.32730428884173,124.27087142638062,0.0564328624611079,2.5338340570269793,False,1.45,1,12
22,130.30424561983534,130.25009225819417,0.054153361641169795,2.587987418668149,False,1.45,1,12
23,133.2649806787761,133.21451250671993,0.05046817205618481,2.638455590724334,False,1.45,1,12
24,134.67243143352135,134.6253243423257,0.047107091195641715,2.6855626819199756,False,1.45,1,12
1,158.50314572010907,159.1046222960737,-0.6014765759646252,-0.6014765759646252,True,1.5,1,12
2,155.5875812013029,155.2005276763154,0.38705352498749335,-0.21442305097713188,True,1.5,1,12
3,117.53987570350206,117.41662268432783,0.12325301917422848,-0.0911700318029034,True,1.5,1,12
4,126.9679012648414,127.34749349661786,-0.3795922317764564,-0.4707622635793598,True,1.5,1,12
5,157.90238197619894,157.4579418642115,0.44444011198743283,-0.026322151591926968,True,1.5,1,12
6,155.00606431663257,154.7942795326229,0.21178478400966583,0.18546263241773886,True,1.5,1,12
7,152.4136560451378,152.84876180831455,-0.4351057631767503,-0.24964313075901146,True,1.5,1,12
8,148.8039656999684,148.3321980110409,0.47176768892748555,0.2221245581684741,True,1.5,1,12
9,140.96011668085495,140.73128484253806,0.2288318383168928,0.4509563964853669,True,1.5,1,12
10,140.32974009545734,140.71656120179773,-0.3868211063403919,0.06413529014497499,True,1.5,1,12
11,142.48619888697212,142.02400256513042,0.46219632184170223,0.5263316119866772,True,1.5,1,12
12,144.14730331340456,143.90582727914347,0.24147603426109754,0.7678076462477748,True,1.5,1,12
13,149.99473925413966,149.81998995144323,0.1747493026964264,0.9425569489442012,False,1.5,1,12
14,147.037916358144,146.90457587026438,0.1333404878796216,1.0758974368238228,False,1.5,1,12
15,143.5756821090128,143.4726363696613,0.10304573935150074,1.1789431761753235,False,1.5,1,12
16,140.30137362481025,140.2188917505519,0.08248187425834885,1.2614250504336724,False,1.5,1,12
17,125.70939827137677,125.6420788312831,0.06731944009366941,1.3287444905273418,False,1.5,1,12
18,112.67571909826819,112.62023308613155,0.055486012136640284,1.384230502663982,False,1.5,1,12
19,111.50634076879713,111.46046025974715,0.04588050904997942,1.4301110117139615,False,1.5,1,12
20,108.5621490354334,108.51293734290383,0.049211692529567586,1.479322704243529,False,1.5,1,12
21,124.32730428884173,124.27087142638062,0.0564328624611079,1.535755566704637,False,1.5,1,12
22,130.30424561983534,130.25009225819417,0.054153361641169795,1.5899089283458068,False,1.5,1,12
23,133.2649806787761,133.21451250671993,0.05046817205618481,1.6403771004019916,False,1.5,1,12
24,134.67243143352135,134.6253243423257,0.047107091195641715,1.6874841915976333,False,1.5,1,12
1,158.50314572010907,159.38128660021178,-0.8781408801027055,-0.8781408801027055,True,1.55,1,12
2,155.5875812013029,155.2005276763154,0.38705352498749335,-0.4910873551152122,True,1.55,1,12
3,117.53987570350206,117.41662268432783,0.12325301917422848,-0.3678343359409837,True,1.55,1,12
4,126.9679012648414,127.5575221340851,-0.5896208692437028,-0.9574552051846865,True,1.55,1,12
5,157.90238197619894,157.4579418642115,0.44444011198743283,-0.5130150931972537,True,1.55,1,12
6,155.00606431663257,154.7942795326229,0.21178478400966583,-0.30123030918758786,True,1.55,1,12
7,152.4136560451378,153.11172802573634,-0.6980719805985416,-0.9993022897861294,True,1.55,1,12
8,148.8039656999684,148.3321980110409,0.47176768892748555,-0.5275346008586439,True,1.55,1,12
9,140.96011668085495,140.73128484253806,0.2288318383168928,-0.2987027625417511,True,1.55,1,12
10,140.32974009545734,140.96498053309298,-0.6352404376356446,-0.9339432001773957,True,1.55,1,12
11,142.48619888697212,142.02400256513042,0.46219632184170223,-0.4717468783356935,True,1.55,1,12
12,144.14730331340456,143.90582727914347,0.24147603426109754,-0.23027084407459597,True,1.55,1,12
13,149.99473925413966,149.81998995144323,0.1747493026964264,-0.05552154137816956,False,1.55,1,12
14,147.037916358144,146.90457587026438,0.1333404878796216,0.07781894650145205,False,1.55,1,12
15,143.5756821090128,143.4726363696613,0.10304573935150074,0.1808646858529528,False,1.55,1,12
16,140.30137362481025,140.2188917505519,0.08248187425834885,0.26334656011130164,False,1.55,1,12
17,125.70939827137677,125.6420788312831,0.06731944009366941,0.33066600020497106,False,1.55,1,12
18,112.67571909826819,112.62023308613155,0.055486012136640284,0.38615201234161134,False,1.55,1,12
19,111.50634076879713,111.46046025974715,0.04588050904997942,0.43203252139159076,False,1.55,1,12
20,108.5621490354334,108.51293734290383,0.049211692529567586,0.48124421392115835,False,1.55,1,12
21,124.32730428884173,124.27087142638062,0.0564328624611079,0.5376770763822663,False,1.55,1,12
22,130.30424561983534,130.25009225819417,0.054153361641169795,0.591830438023436,False,1.55,1,12
23,133.2649806787761,133.21451250671993,0.05046817205618481,0.6422986100796209,False,1.55,1,12
24,134.67243143352135,134.6253243423257,0.047107091195641715,0.6894057012752626,False,1.55,1,12
1,158.50314572010907,159.6579509043499,-1.1548051842408142,-1.1548051842408142,True,1.6,1,12
2,156.73556543562478,155.2005276763154,1.5350377593093754,0.3802325750685611,True,1.6,1,12
3,117.25924950758444,117.41662268432783,-0.15737317674339124,0.22285939832516988,True,1.6,1,12
4,126.83673853067279,127.76755077155235,-0.9308122408795612,-0.7079528425543913,True,1.6,1,12
5,158.91962001847693,157.4579418642115,1.461678154265428,0.7537253117110367,True,1.6,1,12
6,154.57083391601927,154.7942795326229,-0.22344561660364093,0.5302796951073958,True,1.6,1,12
7,152.199891151528,153.3746942431581,-1.1748030916301104,-0.6445233965227146,True,1.6,1,12
8,149.76539762093276,148.3321980110409,1.433199609891858,0.7886762133691434,True,1.6,1,12
9,140.51420723023978,140.73128484253806,-0.21707761229828293,0.5715986010708605,True,1.6,1,12
10,140.10050475080146,141.21339986438824,-1.1128951135867737,-0.5412965125159133,True,1.6,1,12
11,143.35996287400235,142.02400256513042,1.3359603088719325,0.7946637963560192,True,1.6,1,12
12,143.6925860460167,143.90582727914347,-0.21324123312678012,0.5814225632292391,True,1.6,1,12
13,149.7401430453173,149.81998995144323,-0.07984690612593681,0.5015756571033023,False,1.6,1,12
14,146.8664140605526,146.90457587026438,-0.03816180971179506,0.46341384739150726,False,1.6,1,12
15,143.4518207571692,143.4726363696613,-0.0208156124921004,0.44259823489940686,False,1.6,1,12
16,140.20613791090304,140.2188917505519,-0.012753839648866006,0.42984439525054086,False,1.6,1,12
17,125.63361510484292,125.6420788312831,-0.00846372644018345,0.4213806688103574,False,1.6,1,12
18,112.61429255747295,112.62023308613155,-0.0059405286585985095,0.4154401401517589,False,1.6,1,12
19,111.45612604735355,111.46046025974715,-0.004334212393601433,0.41110592775815746,False,1.6,1,12
20,108.50872245304794,108.51293734290383,-0.0042148898558878045,0.40689103790226966,False,1.6,1,12
21,124.26639762587754,124.27087142638062,-0.004473800503077996,0.40241723739919166,False,1.6,1,12
22,130.24605544019897,130.25009225819417,-0.004036817995199726,0.39838041940399194,False,1.6,1,12
23,133.21093223265333,133.21451250671993,-0.0035802740665928923,0.39480014533739904,False,1.6,1,12
24,134.62211463901818,134.6253243423257,-0.0032097033075331183,0.3915904420298659,False,1.6,1,12
1,159.93461527695337,159.93461520848797,6.846539690741338e-08,6.846539690741338e-08,True,1.65,1,12
2,156.05432536879314,156.14932365483475,-0.09499828604160143,-0.09499821757620452,True,1.65,1,12
3,117.10975202964035,116.8648756824621,0.24487634717824847,0.14987812960204394,True,1.65,1,12
4,126.75960666670125,127.73910918668923,-0.9795025199879888,-0.8296243903859448,True,1.65,1,12
5,159.13624668028064,158.23615410749642,0.9000925727842173,0.07046818239827246,True,1.65,1,12
6,154.53507709076496,153.97845227814867,0.5566248126162918,0.6270929950145643,True,1.65,1,12
7,153.01900281722322,153.2809328069227,-0.26192998969946757,0.3651630053150967,True,1.65,1,12
