washout_horizon,upc,feasible_schedules,retained_candidates
0,1600066510,3169,377
0,1600066590,3169,428
0,1600066610,3169,465
0,3800000110,893,382
0,3800000120,3169,385
0,3800000127,3169,397
0,3800001520,3169,327
0,3800001611,3169,435
4,1600066510,3169,345
4,1600066590,3169,370
4,1600066610,3169,441
4,3800000110,893,300
4,3800000120,3169,384
4,3800000127,3169,346
4,3800001520,3169,355
4,3800001611,3169,430
6,1600066510,3169,345
6,1600066590,3169,377
6,1600066610,3169,441
6,3800000110,893,350
6,3800000120,3169,383
6,3800000127,3169,363
6,3800001520,3169,361
6,3800001611,3169,446
8,1600066510,3169,345
8,1600066590,3169,372
8,1600066610,3169,441
8,3800000110,893,372
8,3800000120,3169,383
8,3800000127,3169,373
8,3800001520,3169,354
8,3800001611,3169,446
10,1600066510,3169,345
10,1600066590,3169,372
10,1600066610,3169,441
10,3800000110,893,358
10,3800000120,3169,383
10,3800000127,3169,373
10,3800001520,3169,352
10,3800001611,3169,446
12,1600066510,3169,345
12,1600066590,3169,372
12,1600066610,3169,441
12,3800000110,893,350
12,3800000120,3169,383
12,3800000127,3169,373
12,3800001520,3169,352
12,3800001611,3169,446
