displacement_group,policy,mean_profit,mean_regret,mean_promotions,mean_depth
low,dro_rho_0.306822,208.8800183516025,0.0,0.0,0.0
low,dro_rho_0.613644,208.8800183516025,0.0,0.0,0.0
low,dro_rho_0.920465,208.8800183516025,0.0,0.0,0.0
low,dro_rho_1.227287,208.8800183516025,0.0,0.0,0.0
low,myopic,208.8800183516025,0.0,0.0,0.0
low,no_promotion,208.8800183516025,0.0,0.0,0.0
low,nominal_dynamic,208.8800183516025,0.0,0.0,0.0
moderate,dro_rho_0.306822,208.88001835160244,0.0,0.0,0.0
moderate,dro_rho_0.613644,208.88001835160244,0.0,0.0,0.0
moderate,dro_rho_0.920465,208.88001835160244,0.0,0.0,0.0
moderate,dro_rho_1.227287,208.88001835160244,0.0,0.0,0.0
moderate,myopic,208.88001835160244,0.0,0.0,0.0
moderate,no_promotion,208.88001835160244,0.0,0.0,0.0
moderate,nominal_dynamic,208.88001835160244,0.0,0.0,0.0
high,dro_rho_0.306822,208.88001835160244,0.0,0.0,0.0
high,dro_rho_0.613644,208.88001835160244,0.0,0.0,0.0
high,dro_rho_0.920465,208.88001835160244,0.0,0.0,0.0
high,dro_rho_1.227287,208.88001835160244,0.0,0.0,0.0
high,myopic,208.88001835160244,0.0,0.0,0.0
high,no_promotion,208.88001835160244,0.0,0.0,0.0
high,nominal_dynamic,208.88001835160244,0.0,0.0,0.0
