support_scale,policy,mean_profit,p10_profit,worst_profit,mean_regret,p90_regret,maximum_regret,mean_promotion_count,mean_promotion_depth,promotes_in_any_DGP_share
0.0,dro_calibrated,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
0.0,myopic,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
0.0,no_promotion,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
0.0,nominal_dynamic,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
0.5,dro_calibrated,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
0.5,myopic,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
0.5,no_promotion,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
0.5,nominal_dynamic,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
1.0,dro_calibrated,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
1.0,dro_rho_0.000000,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
1.0,dro_rho_0.454292,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
1.0,dro_rho_0.908585,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
1.0,dro_rho_1.362877,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
1.0,dro_rho_1.817169,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
1.0,myopic,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
1.0,no_promotion,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
1.0,nominal_dynamic,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
1.5,dro_calibrated,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
1.5,myopic,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
1.5,no_promotion,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
1.5,nominal_dynamic,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
2.0,dro_calibrated,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
2.0,myopic,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
2.0,no_promotion,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
2.0,nominal_dynamic,208.88001835160247,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0
