split,promotion_indicator,support_group,n,share_within_state
calibration,0,1,1423,0.20002811357885858
calibration,0,2,1423,0.20002811357885858
calibration,0,3,1422,0.19988754568456565
calibration,0,4,1423,0.20002811357885858
calibration,0,5,1423,0.20002811357885858
calibration,1,1,218,0.20018365472910926
calibration,1,2,218,0.20018365472910926
calibration,1,3,217,0.1992653810835629
calibration,1,4,218,0.20018365472910926
calibration,1,5,218,0.20018365472910926
test,0,1,29,0.003897325628275769
test,0,2,48,0.006450745867490929
test,0,3,1266,0.17013842225507325
test,0,4,3699,0.4971106034135197
test,0,5,2399,0.3224029028356404
test,1,1,139,0.12118570183086312
test,1,2,162,0.14123801220575413
test,1,3,344,0.2999128160418483
test,1,4,376,0.32781168265039234
test,1,5,126,0.10985178727114212
