split,promotion_indicator,support_measure,n,spearman_support_loss,p_value
calibration,0,normalized_support_state,7114,0.047528267920139124,6.063873632408396e-05
calibration,0,normalized_support_all,7114,0.050385591119549544,2.121512897462383e-05
calibration,0,local_support_state,7114,0.020124598654768733,0.08964497566889612
calibration,0,local_support_all,7114,0.0435331633558879,0.0002398319522547645
calibration,1,normalized_support_state,1089,0.08203043348661021,0.006759604038594995
calibration,1,normalized_support_all,1089,-0.007962619993785672,0.7929600003546212
calibration,1,local_support_state,1089,0.11305019297126691,0.00018522308704067996
calibration,1,local_support_all,1089,-0.008338025672017232,0.7834363815813474
test,0,normalized_support_state,7441,-0.05433679670772203,2.7342380197483544e-06
test,0,normalized_support_all,7441,-0.04746281713697551,4.206740927441353e-05
test,0,local_support_state,7441,-0.0707593299703597,9.936846925395545e-10
test,0,local_support_all,7441,-0.04705497270794149,4.8949462517515066e-05
test,1,normalized_support_state,1147,0.0670117911066828,0.023232393225322133
test,1,normalized_support_all,1147,0.017240768082130577,0.55968699451248
test,1,local_support_state,1147,0.0754729149611359,0.010560015206038852
test,1,local_support_all,1147,0.023301490149542352,0.4304585589764046
