store_upc,train_weeks,train_rows,calibration_weeks,calibration_rows,test_weeks,test_rows,eligible
1014,210,210,72,72,72,72,True
1016,210,210,72,72,72,72,True
1017,210,210,72,72,72,72,True
1038,210,210,72,72,72,72,True
1041,210,210,72,72,72,72,True
11353,206,206,72,72,72,72,True
11354,207,207,72,72,72,72,True
11355,207,207,72,72,72,72,True
11501,207,207,72,72,72,72,True
11502,207,207,72,72,72,72,True
11503,207,207,72,72,72,72,True
11525,207,207,72,72,72,72,True
11528,207,207,72,72,72,72,True
12618,211,211,72,72,72,72,True
12619,211,211,72,72,72,72,True
12620,211,211,72,72,72,72,True
12769,211,211,72,72,72,72,True
12771,211,211,72,72,72,72,True
12772,211,211,72,72,72,72,True
12792,211,211,72,72,72,72,True
12795,211,211,72,72,72,72,True
13048,210,210,72,72,72,72,True
13049,210,210,72,72,72,72,True
13050,210,210,72,72,72,72,True
13199,210,210,72,72,72,72,True
13201,210,210,72,72,72,72,True
13202,210,210,72,72,72,72,True
13225,210,210,72,72,72,72,True
13228,210,210,72,72,72,72,True
15164,211,211,72,72,72,72,True
15165,212,212,72,72,72,72,True
15166,212,212,72,72,72,72,True
15317,212,212,72,72,72,72,True
15319,212,212,72,72,72,72,True
15320,212,212,72,72,72,72,True
15342,212,212,72,72,72,72,True
15345,212,212,72,72,72,72,True
20892,207,207,72,72,72,72,True
20893,207,207,72,72,72,72,True
20894,207,207,72,72,72,72,True
21042,207,207,72,72,72,72,True
21044,207,207,72,72,72,72,True
21045,207,207,72,72,72,72,True
21067,207,207,72,72,72,72,True
21070,207,207,72,72,72,72,True
22154,205,205,72,72,72,72,True
22155,205,205,72,72,72,72,True
22156,205,205,72,72,72,72,True
22302,205,205,72,72,72,72,True
22303,205,205,72,72,72,72,True
22304,205,205,72,72,72,72,True
22326,205,205,72,72,72,72,True
22329,205,205,72,72,72,72,True
24708,208,208,72,72,72,72,True
24709,208,208,72,72,72,72,True
24710,208,208,72,72,72,72,True
24863,208,208,72,72,72,72,True
24864,208,208,72,72,72,72,True
24865,208,208,72,72,72,72,True
24884,208,208,72,72,72,72,True
24887,208,208,72,72,72,72,True
2539,206,206,72,72,72,72,True
2540,206,206,72,72,72,72,True
2541,206,206,72,72,72,72,True
25551,213,213,72,72,72,72,True
25552,213,213,72,72,72,72,True
25553,213,213,72,72,72,72,True
25692,213,213,72,72,72,72,True
25693,213,213,72,72,72,72,True
25694,213,213,72,72,72,72,True
25712,213,213,72,72,72,72,True
25715,213,213,72,72,72,72,True
2679,206,206,72,72,72,72,True
2680,206,206,72,72,72,72,True
26804,209,209,72,72,72,72,True
26805,209,209,72,72,72,72,True
26806,209,209,72,72,72,72,True
2681,206,206,72,72,72,72,True
26951,209,209,72,72,72,72,True
26952,209,209,72,72,72,72,True
26953,209,209,72,72,72,72,True
26972,209,209,72,72,72,72,True
26975,209,209,72,72,72,72,True
2700,206,206,72,72,72,72,True
2703,206,206,72,72,72,72,True
29600,210,210,72,72,72,72,True
29601,210,210,72,72,72,72,True
29602,210,210,72,72,72,72,True
29753,210,210,72,72,72,72,True
29754,210,210,72,72,72,72,True
29755,210,210,72,72,72,72,True
29774,210,210,72,72,72,72,True
29777,210,210,72,72,72,72,True
30452,200,200,72,72,72,72,True
30453,200,200,72,72,72,72,True
30454,200,200,72,72,72,72,True
30603,200,200,72,72,72,72,True
30605,200,200,72,72,72,72,True
30606,200,200,72,72,72,72,True
30625,200,200,71,71,72,72,True
30628,200,200,72,72,72,72,True
31316,207,207,72,72,72,72,True
31317,207,207,72,72,72,72,True
31318,207,207,72,72,72,72,True
31469,207,207,72,72,72,72,True
31471,207,207,72,72,72,72,True
31472,207,207,72,72,72,72,True
31491,207,207,72,72,72,72,True
31494,207,207,72,72,72,72,True
32997,211,211,72,72,72,72,True
32998,211,211,72,72,72,72,True
32999,211,211,72,72,72,72,True
33151,211,211,72,72,72,72,True
33153,211,211,72,72,72,72,True
33154,211,211,72,72,72,72,True
33178,211,211,72,72,72,72,True
33181,211,211,72,72,72,72,True
863,210,210,72,72,72,72,True
864,210,210,72,72,72,72,True
865,210,210,72,72,72,72,True
