upc,depth_cluster,observations,panels,stores,median_observed_depth,mean_observed_depth,supported,admissible
1600066510,0.05,150,15,15,0.05857740585774063,0.050599012182594744,True,True
1600066510,0.1,65,13,13,0.08750000000000002,0.09070980807080527,True,True
1600066510,0.25,73,15,15,0.2510460251046025,0.2514589203247835,True,True
1600066590,0.05,211,15,15,0.05899705014749268,0.054479275088878204,True,True
1600066590,0.1,133,15,15,0.10140845070422533,0.10189137775148266,True,True
1600066590,0.25,71,15,15,0.25075528700906347,0.25106131859688086,True,True
1600066610,0.05,239,15,15,0.04863221884498481,0.04136532870803164,True,True
1600066610,0.1,135,15,15,0.09295774647887312,0.0954889641149542,True,True
1600066610,0.25,69,15,15,0.2515527950310559,0.25158271059313286,True,True
3800000110,0.05,77,15,15,0.07160194174757273,0.06565891559539806,True,True
3800000110,0.1,34,12,12,0.09222591362126242,0.09507959362930314,True,True
3800000120,0.05,291,15,15,0.029268292682926744,0.033851250152996476,True,True
3800000120,0.1,84,14,14,0.08252427184466027,0.09238694806393564,True,True
3800000120,0.3,54,14,14,0.29929577464788726,0.2980485195886398,True,True
3800000127,0.05,145,15,15,0.04297994269340988,0.04086649160683112,True,True
3800000127,0.1,119,15,15,0.08399999999999996,0.0904256446146998,True,True
3800000127,0.15,45,9,9,0.13180515759312328,0.13912524241391538,True,True
3800001520,0.05,222,15,15,0.03147699757869249,0.03812501378821483,True,True
3800001520,0.1,64,14,14,0.08895137208744747,0.09320894439408746,True,True
3800001520,0.5,30,14,14,0.4864864864864865,0.48905638096320503,True,True
3800001611,0.05,158,15,15,0.056140350877193046,0.04765902908776096,True,True
3800001611,0.1,81,14,14,0.09352978859705308,0.09665377086340228,True,True
3800001611,0.4,23,15,15,0.3987915407854985,0.40029720348091663,True,True
