event_id,store_upc,store,upc,event_week,event_date,promotion_depth,split
5,1014,8,3800000110,352,1996-06-06,0.4651162790697675,test
18,1016,8,3800000120,321,1995-11-02,0.3697183098591549,calibration
32,1017,8,3800000127,333,1996-01-25,0.2836676217765044,test
35,1017,8,3800000127,352,1996-06-06,0.28653295128939826,test
36,1017,8,3800000127,363,1996-08-22,0.4269340974212035,test
38,1017,8,3800000127,390,1997-02-27,0.14326647564469908,test
57,1038,8,3800001520,327,1995-12-14,0.05569007263922521,test
69,1041,8,3800001611,246,1994-05-26,0.3987915407854985,calibration
70,1041,8,3800001611,332,1996-01-18,0.3987915407854985,test
71,1041,8,3800001611,342,1996-03-28,0.25075528700906347,test
72,1041,8,3800001611,352,1996-06-06,0.3021148036253777,test
73,1041,8,3800001611,383,1997-01-09,0.10746268656716418,test
82,11353,70,1600066510,331,1996-01-11,0.3307392996108949,test
98,11354,70,1600066590,226,1994-01-06,0.5013698630136987,calibration
99,11354,70,1600066590,236,1994-03-17,0.5041095890410958,calibration
102,11354,70,1600066590,346,1996-04-25,0.3455497382198953,test
118,11355,70,1600066610,226,1994-01-06,0.5013698630136987,calibration
123,11355,70,1600066610,331,1996-01-11,0.33227848101265833,test
127,11355,70,1600066610,392,1997-03-13,0.09523809523809523,test
133,11501,70,3800000110,352,1996-06-06,0.4878048780487805,test
146,11502,70,3800000120,250,1994-06-23,0.2602230483271375,calibration
149,11502,70,3800000120,352,1996-06-06,0.37174721189591076,test
150,11502,70,3800000120,359,1996-07-25,0.2602230483271375,test
159,11503,70,3800000127,245,1994-05-19,0.2821316614420063,calibration
160,11503,70,3800000127,333,1996-01-25,0.24012158054711252,test
163,11503,70,3800000127,352,1996-06-06,0.336231884057971,test
164,11503,70,3800000127,363,1996-08-22,0.39209726443769,test
165,11503,70,3800000127,390,1997-02-27,0.15197568389057747,test
193,11528,70,3800001611,246,1994-05-26,0.3682539682539683,calibration
194,11528,70,3800001611,342,1996-03-28,0.2507936507936508,test
195,11528,70,3800001611,352,1996-06-06,0.31746031746031744,test
196,11528,70,3800001611,383,1997-01-09,0.050793650793650724,test
203,12618,73,1600066510,331,1996-01-11,0.33054393305439334,test
214,12619,73,1600066590,226,1994-01-06,0.5014749262536873,calibration
236,12620,73,1600066610,331,1996-01-11,0.33134328358208953,test
243,12769,73,3800000110,352,1996-06-06,0.4651162790697675,test
254,12771,73,3800000120,235,1994-03-10,0.5606694560669456,calibration
257,12771,73,3800000120,321,1995-11-02,0.3697183098591549,calibration
261,12771,73,3800000120,352,1996-06-06,0.352112676056338,test
262,12771,73,3800000120,359,1996-07-25,0.30175438596491233,test
