upc,depth_cluster,observations,panels,stores,median_observed_depth,mean_observed_depth,supported
1600066510,0.05,150,15,15,0.05857740585774063,0.050599012182594744,True
1600066510,0.1,65,13,13,0.08750000000000002,0.09070980807080527,True
1600066510,0.15,8,6,6,0.1357027463651052,0.1394320475132697,False
1600066510,0.2,4,4,4,0.18997830402068044,0.19229753447637457,False
1600066510,0.25,73,15,15,0.2510460251046025,0.2514589203247835,True
1600066510,0.3,6,5,5,0.29811320754716975,0.30157682960444454,False
1600066510,0.35,5,5,5,0.35146443514644354,0.3494582565623007,False
1600066510,0.4,1,1,1,0.4136546184738956,0.4136546184738956,False
1600066510,0.45,18,12,12,0.46586345381526106,0.46121503429773125,True
1600066510,0.5,36,15,15,0.5018451189454907,0.4961586089448144,True
1600066590,0.05,211,15,15,0.05899705014749268,0.054479275088878204,True
1600066590,0.1,133,15,15,0.10140845070422533,0.10189137775148266,True
1600066590,0.15,34,10,10,0.14775725593667544,0.14569835683988017,True
1600066590,0.2,13,4,4,0.21095890410958906,0.20571323621824214,False
1600066590,0.25,71,15,15,0.25075528700906347,0.25106131859688086,True
1600066590,0.3,7,5,5,0.29815303430079154,0.2957076850693273,False
1600066590,0.35,11,8,8,0.3650793650793651,0.3609469047589556,False
1600066590,0.4,33,14,14,0.38769230769230767,0.39237971326288024,True
1600066590,0.45,18,12,12,0.4524499609474249,0.4548858537493732,True
1600066590,0.5,55,15,15,0.5014749262536873,0.5008503328322548,True
1600066590,0.55,4,4,4,0.5599650674495522,0.5599650674495522,False
1600066610,0.05,239,15,15,0.04863221884498481,0.04136532870803164,True
1600066610,0.1,135,15,15,0.09295774647887312,0.0954889641149542,True
1600066610,0.15,16,7,7,0.1505991170906033,0.14504083780270602,True
1600066610,0.2,12,4,4,0.1808219178082191,0.186155994098579,False
1600066610,0.25,69,15,15,0.2515527950310559,0.25158271059313286,True
1600066610,0.3,12,9,9,0.28273523494944347,0.290117741513688,False
1600066610,0.35,4,3,3,0.3582089552238807,0.3544886696444538,False
1600066610,0.4,39,14,14,0.39811912225705326,0.3966270141903321,True
1600066610,0.45,23,11,11,0.452887537993921,0.4504180541341775,True
1600066610,0.5,44,15,15,0.5014925373134329,0.4980654278132542,True
1600066610,0.55,4,4,4,0.5543312646326508,0.5543312646326508,False
3800000110,0.05,77,15,15,0.07160194174757273,0.06565891559539806,True
3800000110,0.1,34,12,12,0.09222591362126242,0.09507959362930314,True
3800000110,0.15,4,3,3,0.13142857142857145,0.13327002477291494,False
3800000110,0.2,1,1,1,0.19565217391304357,0.19565217391304357,False
3800000120,0.05,291,15,15,0.029268292682926744,0.033851250152996476,True
3800000120,0.1,84,14,14,0.08252427184466027,0.09238694806393564,True
3800000120,0.15,24,12,12,0.14260563380281688,0.14657494274381458,True
3800000120,0.2,19,8,8,0.21578947368421053,0.20767504740557072,True
