store_upc,episode_number,store,upc,start_week,end_week,start_date,end_date,promotion_weeks,mean_depth,median_depth,max_depth,episode_length,consecutive_episode
1014,1,8,3800000110,112,112,1991-10-31,1991-11-06,1,0.03144654088050314,0.03144654088050314,0.03144654088050314,1,True
1014,2,8,3800000110,114,114,1991-11-14,1991-11-20,1,0.0,0.0,0.0,1,True
1014,3,8,3800000110,117,118,1991-12-05,1991-12-18,2,0.0,0.0,0.0,2,True
1014,4,8,3800000110,156,156,1992-09-03,1992-09-09,1,0.1445086705202312,0.1445086705202312,0.1445086705202312,1,True
1014,5,8,3800000110,222,232,1993-12-09,1994-02-23,11,0.08780522190739816,0.091324200913242,0.091324200913242,11,True
1014,6,8,3800000110,340,340,1996-03-14,1996-03-20,1,0.07441860465116279,0.07441860465116279,0.07441860465116279,1,True
1014,7,8,3800000110,342,342,1996-03-28,1996-04-03,1,0.25116279069767433,0.25116279069767433,0.25116279069767433,1,True
1014,8,8,3800000110,352,352,1996-06-06,1996-06-12,1,0.4651162790697675,0.4651162790697675,0.4651162790697675,1,True
1016,1,8,3800000120,25,25,1990-03-01,1990-03-07,1,0.0052631578947368585,0.0052631578947368585,0.0052631578947368585,1,True
1016,2,8,3800000120,43,44,1990-07-05,1990-07-18,2,0.0357142857142857,0.0357142857142857,0.0357142857142857,2,True
1016,3,8,3800000120,55,55,1990-09-27,1990-10-03,1,0.0357142857142857,0.0357142857142857,0.0357142857142857,1,True
1016,4,8,3800000120,74,75,1991-02-07,1991-02-20,2,0.23979591836734693,0.23979591836734693,0.23979591836734693,2,True
1016,5,8,3800000120,88,88,1991-05-16,1991-05-22,1,0.0,0.0,0.0,1,True
1016,6,8,3800000120,94,94,1991-06-27,1991-07-03,1,0.0357142857142857,0.0357142857142857,0.0357142857142857,1,True
1016,7,8,3800000120,97,97,1991-07-18,1991-07-24,1,0.0357142857142857,0.0357142857142857,0.0357142857142857,1,True
1016,8,8,3800000120,107,107,1991-09-26,1991-10-02,1,0.0357142857142857,0.0357142857142857,0.0357142857142857,1,True
1016,9,8,3800000120,123,127,1992-01-16,1992-02-19,5,0.22829268292682925,0.019512195121951237,0.5512195121951219,5,True
1016,10,8,3800000120,152,152,1992-08-06,1992-08-12,1,0.08848377056469536,0.08848377056469536,0.08848377056469536,1,True
1016,11,8,3800000120,156,156,1992-09-03,1992-09-09,1,0.17256637168141575,0.17256637168141575,0.17256637168141575,1,True
1016,12,8,3800000120,174,174,1993-01-07,1993-01-13,1,0.11946902654867253,0.11946902654867253,0.11946902654867253,1,True
1016,13,8,3800000120,178,178,1993-02-04,1993-02-10,1,0.017699115044247593,0.017699115044247593,0.017699115044247593,1,True
1016,14,8,3800000120,185,185,1993-03-25,1993-03-31,1,0.09322033898305071,0.09322033898305071,0.09322033898305071,1,True
1016,15,8,3800000120,187,189,1993-04-08,1993-04-28,3,0.016949152542372947,0.016949152542372947,0.016949152542372947,3,True
1016,16,8,3800000120,192,192,1993-05-13,1993-05-19,1,0.04661016949152541,0.04661016949152541,0.04661016949152541,1,True
1016,17,8,3800000120,214,215,1993-10-14,1993-10-27,2,0.1156862745098039,0.1156862745098039,0.2196078431372549,2,True
1016,18,8,3800000120,222,233,1993-12-09,1994-03-02,12,0.25685595587960325,0.26590007319234177,0.5333333333333333,12,True
1016,19,8,3800000120,235,236,1994-03-10,1994-03-23,2,0.32217573221757323,0.32217573221757323,0.5564853556485356,2,True
1016,20,8,3800000120,250,251,1994-06-23,1994-07-06,2,0.1549295774647887,0.1549295774647887,0.29929577464788726,2,True
1016,21,8,3800000120,266,267,1994-10-13,1994-10-26,2,0.42605633802816895,0.42605633802816895,0.6514084507042253,2,True
1016,22,8,3800000120,274,277,1994-12-08,1995-01-04,4,0.26408450704225345,0.2676056338028168,0.29929577464788726,4,True
1016,23,8,3800000120,321,321,1995-11-02,1995-11-08,1,0.3697183098591549,0.3697183098591549,0.3697183098591549,1,True
1016,24,8,3800000120,342,342,1996-03-28,1996-04-03,1,0.25,0.25,0.25,1,True
1016,25,8,3800000120,344,346,1996-04-11,1996-05-01,3,0.38380281690140833,0.2676056338028169,0.6514084507042253,3,True
