relative_week,sales_index,ci_lower,ci_upper,n_events,n_panels
-4,96.30062319089595,90.6451300337729,102.37466712433468,256,103
-3,109.3536684954968,102.03173347490811,117.6811667638726,256,103
-2,106.50822321115051,99.37187310036863,114.38487238841272,256,103
-1,98.97101108420178,92.63213117315837,105.90338709459238,256,103
0,746.9824339949346,653.2760428458683,846.0916508251821,256,103
1,106.97622940207685,98.95521830799271,115.60987753727656,256,103
2,115.23129693285486,108.14222455731525,122.03592141454902,256,103
3,112.24648196844392,105.94621620563186,119.3455523079981,256,103
4,114.80191685919475,107.06559488820992,122.38820483894884,256,103
5,111.85148290700008,103.84771260211765,119.80097060804397,256,103
6,104.72584043312047,98.35732481562735,111.240990000094,256,103
