alpha,method,schedule_id,mean_profit,p10_profit,worst_profit,mean_regret,p90_regret,maximum_regret,promotion_count,total_discount_depth,first_promotion_week,oracle_promotion_share
2.1,myopic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.06879760797818524,0.1817152500152601,2.0267162322998047,0,0.0,,0.15999999999999998
2.1,nominal_dynamic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.06879760797818524,0.1817152500152601,2.0267162322998047,0,0.0,,0.15999999999999998
2.1,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,0.06879760797818524,0.1817152500152601,2.0267162322998047,0,0.0,,0.15999999999999998
2.105,myopic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.08277606450716642,0.20898274421691204,2.139742183685314,0,0.0,,0.16999999999999998
2.105,nominal_dynamic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.08277606450716642,0.20898274421691204,2.139742183685314,0,0.0,,0.16999999999999998
2.105,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,0.08277606450716642,0.20898274421691204,2.139742183685314,0,0.0,,0.16999999999999998
2.11,myopic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.09870478792985238,0.23959745407105873,2.252768135070795,0,0.0,,0.18
2.11,nominal_dynamic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.09870478792985238,0.23959745407105873,2.252768135070795,0,0.0,,0.18
2.11,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,0.09870478792985238,0.23959745407105873,2.252768135070795,0,0.0,,0.18
2.115,myopic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.11607983136574526,0.33886649131775926,2.386559467315692,0,0.0,,0.20499999999999996
2.115,nominal_dynamic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.11607983136574526,0.33886649131775926,2.386559467315692,0,0.0,,0.20499999999999996
2.115,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,0.11607983136574526,0.33886649131775926,2.386559467315692,0,0.0,,0.20499999999999996
2.12,myopic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.1377180191675827,0.40838104248047963,2.5990126037597747,0,0.0,,0.22499999999999998
2.12,nominal_dynamic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.1377180191675827,0.40838104248047963,2.5990126037597747,0,0.0,,0.22499999999999998
2.12,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,0.1377180191675827,0.40838104248047963,2.5990126037597747,0,0.0,,0.22499999999999998
2.125,myopic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.16408037255207697,0.4687502384186042,2.8709053993225098,0,0.0,,0.23999999999999996
2.125,nominal_dynamic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.16408037255207697,0.4687502384186042,2.8709053993225098,0,0.0,,0.23999999999999996
2.125,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,0.16408037255207697,0.4687502384186042,2.8709053993225098,0,0.0,,0.23999999999999996
2.13,myopic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.19476033863226547,0.6066851711273241,3.213783531188966,0,0.0,,0.265
2.13,nominal_dynamic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.19476033863226547,0.6066851711273241,3.213783531188966,0,0.0,,0.265
2.13,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,0.19476033863226547,0.6066851711273241,3.213783531188966,0,0.0,,0.265
2.135,myopic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.22978303896188532,0.7929643058777165,3.7392573928832746,0,0.0,,0.275
2.135,nominal_dynamic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.22978303896188532,0.7929643058777165,3.7392573928832746,0,0.0,,0.275
2.135,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,0.22978303896188532,0.7929643058777165,3.7392573928832746,0,0.0,,0.275
2.14,myopic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.26959196801185686,1.0271425628662314,4.26473125457764,0,0.0,,0.2899999999999999
2.14,nominal_dynamic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.26959196801185686,1.0271425628662314,4.26473125457764,0,0.0,,0.2899999999999999
2.14,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,0.26959196801185686,1.0271425628662314,4.26473125457764,0,0.0,,0.2899999999999999
2.145,myopic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.3170908503254255,1.1542484474182217,4.790205116271977,0,0.0,,0.31499999999999995
2.145,nominal_dynamic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.3170908503254255,1.1542484474182217,4.790205116271977,0,0.0,,0.31499999999999995
2.145,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,0.3170908503254255,1.1542484474182217,4.790205116271977,0,0.0,,0.31499999999999995
2.15,myopic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.37215085633595735,1.313711833953909,5.315678977966286,0,0.0,,0.31999999999999995
2.15,nominal_dynamic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.37215085633595735,1.313711833953909,5.315678977966286,0,0.0,,0.31999999999999995
2.15,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,0.37215085633595735,1.313711833953909,5.315678977966286,0,0.0,,0.31999999999999995
2.155,myopic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.436004660344121,1.5720289611817084,5.841152839660623,0,0.0,,0.36
2.155,nominal_dynamic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.436004660344121,1.5720289611817084,5.841152839660623,0,0.0,,0.36
2.155,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,0.436004660344121,1.5720289611817084,5.841152839660623,0,0.0,,0.36
2.16,myopic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.508270109266045,1.8759140014648705,6.366626701354988,0,0.0,,0.3999999999999999
2.16,nominal_dynamic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.508270109266045,1.8759140014648705,6.366626701354988,0,0.0,,0.3999999999999999
2.16,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,0.508270109266045,1.8759140014648705,6.366626701354988,0,0.0,,0.3999999999999999
2.165,myopic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.589851329455774,2.2563322067261056,6.8921005630493255,0,0.0,,0.4049999999999999
2.165,nominal_dynamic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.589851329455774,2.2563322067261056,6.8921005630493255,0,0.0,,0.4049999999999999
2.165,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,0.589851329455774,2.2563322067261056,6.8921005630493255,0,0.0,,0.4049999999999999
2.17,myopic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.6792008820871492,2.5791057586670507,7.417574424743634,0,0.0,,0.41999999999999993
2.17,nominal_dynamic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.6792008820871492,2.5791057586670507,7.417574424743634,0,0.0,,0.41999999999999993
2.17,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,0.6792008820871492,2.5791057586670507,7.417574424743634,0,0.0,,0.41999999999999993
2.175,myopic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.7794735157986459,2.88909027576447,7.943048286437971,0,0.0,,0.43999999999999995
2.175,nominal_dynamic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.7794735157986459,2.88909027576447,7.943048286437971,0,0.0,,0.43999999999999995
2.175,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,0.7794735157986459,2.88909027576447,7.943048286437971,0,0.0,,0.43999999999999995
2.18,myopic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.8867811414996817,3.380481038093592,8.468522148132337,0,0.0,,0.45999999999999996
2.18,nominal_dynamic,0,208.8800201416016,208.88002014160156,208.88002014160156,0.8867811414996817,3.380481038093592,8.468522148132337,0,0.0,,0.45999999999999996
2.18,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,0.8867811414996817,3.380481038093592,8.468522148132337,0,0.0,,0.45999999999999996
2.185,myopic,0,208.8800201416016,208.88002014160156,208.88002014160156,1.0051763946930576,3.8718718004226673,8.993996009826674,0,0.0,,0.48999999999999994
2.185,nominal_dynamic,0,208.8800201416016,208.88002014160156,208.88002014160156,1.0051763946930576,3.8718718004226673,8.993996009826674,0,0.0,,0.48999999999999994
2.185,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,1.0051763946930576,3.8718718004226673,8.993996009826674,0,0.0,,0.48999999999999994
2.19,myopic,2597,205.9045636876424,200.25294998168948,192.39102710723876,4.11299006817341,8.559282569885287,16.488993034362807,4,0.8,1.0,0.5249999999999999
2.19,nominal_dynamic,3,208.94042721242903,207.4899030685425,206.0134939956665,1.0771265433867767,2.6626545524597356,7.216222801208488,1,0.3,12.0,0.5249999999999999
2.19,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,1.1375336142142598,4.363262562751771,9.519469871520982,0,0.0,,0.5249999999999999
2.195,myopic,3168,204.8218232739503,197.0387372970581,184.52862045288086,5.336884784792375,11.83412067413332,24.351399688720704,4,1.2,1.0,0.55
2.195,nominal_dynamic,3,209.05274105582237,207.59262876510624,206.1064605140686,1.1059670029203068,2.957846126556442,7.614557380676246,1,0.3,12.0,0.55
