alpha,evaluated_schedule_count,schedule_id,promotion_count,evaluated_schedule_share
2.1,1.0,0,0,0.0003155569580309246
2.105,1.0,0,0,0.0003155569580309246
2.11,1.0,0,0,0.0003155569580309246
2.115,1.0,0,0,0.0003155569580309246
2.12,1.0,0,0,0.0003155569580309246
2.125,1.0,0,0,0.0003155569580309246
2.13,1.0,0,0,0.0003155569580309246
2.135,1.0,0,0,0.0003155569580309246
2.14,1.0,0,0,0.0003155569580309246
2.145,1.0,0,0,0.0003155569580309246
2.15,1.0,0,0,0.0003155569580309246
2.155,1.0,0,0,0.0003155569580309246
2.16,1.0,0,0,0.0003155569580309246
2.165,1.0,0,0,0.0003155569580309246
2.17,1.0,0,0,0.0003155569580309246
2.175,1.0,0,0,0.0003155569580309246
2.18,1.0,0,0,0.0003155569580309246
2.185,1.0,0,0,0.0003155569580309246
2.19,3.0,0,0,0.0009466708740927738
2.195,3.0,0,0,0.0009466708740927738
2.2,3.0,0,0,0.0009466708740927738
2.205,3.0,0,0,0.0009466708740927738
2.21,3.0,0,0,0.0009466708740927738
2.215,22.0,0,0,0.006942253076680341
2.22,30.0,0,0,0.009466708740927737
2.225,76.0,0,0,0.023982328810350267
2.23,248.0,0,0,0.0782581255916693
2.235,578.0,0,0,0.1823919217418744
2.24,777.0,3,1,0.2451877563900284
2.245,1017.0,3,1,0.3209214263174503
2.25,1241.0,3,1,0.3916061849163774
2.255,1513.0,3,1,0.4774376775007889
2.26,1702.0,3,1,0.5370779425686336
2.265,1856.0,3,1,0.585673714105396
2.27,2028.0,3,1,0.639949510886715
2.275,2133.0,3,1,0.6730829914799621
2.28,2260.0,3,1,0.7131587251498895
2.285,2300.0,3,1,0.7257810034711265
2.29,2343.0,3,1,0.7393499526664563
2.295,2373.0,3,1,0.748816661407384
2.3,2347.0,21,2,0.74061218049858
2.305,2314.0,21,2,0.7301988008835595
2.31,2308.0,21,2,0.7283054591353739
2.315,2225.0,138,3,0.7021142316188071
2.32,2071.0,903,4,0.6535184600820448
2.325,1852.0,1578,4,0.5844114862732723
2.33,1698.0,2820,4,0.5358157147365099
2.335,1531.0,2820,4,0.48311770274534555
2.34,1458.0,2820,4,0.46008204480908804
2.345,1344.0,2820,4,0.42410855159356264
2.35,1206.0,2820,4,0.38056169138529505
2.355,1086.0,2820,4,0.3426948564215841
2.36,978.0,2820,4,0.30861470495424426
2.365,923.0,2820,4,0.2912590722625434
2.37,805.0,2820,4,0.2540233512148943
2.375,791.0,2820,4,0.24960555380246136
2.38,741.0,2820,4,0.23382770590091512
2.385,683.0,2820,4,0.2155254023351215
2.39,646.0,2820,4,0.20384979488797728
2.395,583.0,2820,4,0.18396970653202904
2.4,563.0,2820,4,0.17765856737141053
2.405,545.0,2820,4,0.1719785421268539
2.41,489.0,2820,4,0.15430735247712213
2.415,450.0,2820,4,0.14200063111391606
2.42,403.0,2820,4,0.1271694540864626
2.425,371.0,2820,4,0.11707163142947302
2.43,363.0,2820,4,0.11454717576522562
2.435,341.0,2928,4,0.10760492268854528
2.44,341.0,2928,4,0.10760492268854528
2.445,301.0,2928,4,0.0949826443673083
2.45,281.0,2928,4,0.0886715052066898
2.455,281.0,2928,4,0.0886715052066898
2.46,281.0,2928,4,0.0886715052066898
2.465,281.0,2928,4,0.0886715052066898
2.47,281.0,2928,4,0.0886715052066898
2.475,276.0,2928,4,0.08709372041653518
2.48,267.0,2928,4,0.08425370779425687
2.485,258.0,2928,4,0.08141369517197854
2.49,252.0,2928,4,0.07952035342379299
2.495,238.0,2928,4,0.07510255601136005
2.5,222.0,2928,4,0.07005364468286526
