alpha,method,schedule_id,week,discount_depth
2.1,myopic,0,1,0.0
2.1,myopic,0,2,0.0
2.1,myopic,0,3,0.0
2.1,myopic,0,4,0.0
2.1,myopic,0,5,0.0
2.1,myopic,0,6,0.0
2.1,myopic,0,7,0.0
2.1,myopic,0,8,0.0
2.1,myopic,0,9,0.0
2.1,myopic,0,10,0.0
2.1,myopic,0,11,0.0
2.1,myopic,0,12,0.0
2.1,nominal_dynamic,0,1,0.0
2.1,nominal_dynamic,0,2,0.0
2.1,nominal_dynamic,0,3,0.0
2.1,nominal_dynamic,0,4,0.0
2.1,nominal_dynamic,0,5,0.0
2.1,nominal_dynamic,0,6,0.0
2.1,nominal_dynamic,0,7,0.0
2.1,nominal_dynamic,0,8,0.0
2.1,nominal_dynamic,0,9,0.0
2.1,nominal_dynamic,0,10,0.0
2.1,nominal_dynamic,0,11,0.0
2.1,nominal_dynamic,0,12,0.0
2.1,persistent_dro,0,1,0.0
2.1,persistent_dro,0,2,0.0
2.1,persistent_dro,0,3,0.0
2.1,persistent_dro,0,4,0.0
2.1,persistent_dro,0,5,0.0
2.1,persistent_dro,0,6,0.0
2.1,persistent_dro,0,7,0.0
2.1,persistent_dro,0,8,0.0
2.1,persistent_dro,0,9,0.0
2.1,persistent_dro,0,10,0.0
2.1,persistent_dro,0,11,0.0
2.1,persistent_dro,0,12,0.0
2.185,myopic,0,1,0.0
2.185,myopic,0,2,0.0
2.185,myopic,0,3,0.0
2.185,myopic,0,4,0.0
2.185,myopic,0,5,0.0
2.185,myopic,0,6,0.0
2.185,myopic,0,7,0.0
2.185,myopic,0,8,0.0
2.185,myopic,0,9,0.0
2.185,myopic,0,10,0.0
2.185,myopic,0,11,0.0
2.185,myopic,0,12,0.0
2.185,nominal_dynamic,0,1,0.0
2.185,nominal_dynamic,0,2,0.0
2.185,nominal_dynamic,0,3,0.0
2.185,nominal_dynamic,0,4,0.0
2.185,nominal_dynamic,0,5,0.0
2.185,nominal_dynamic,0,6,0.0
2.185,nominal_dynamic,0,7,0.0
2.185,nominal_dynamic,0,8,0.0
2.185,nominal_dynamic,0,9,0.0
2.185,nominal_dynamic,0,10,0.0
2.185,nominal_dynamic,0,11,0.0
2.185,nominal_dynamic,0,12,0.0
2.185,persistent_dro,0,1,0.0
2.185,persistent_dro,0,2,0.0
2.185,persistent_dro,0,3,0.0
2.185,persistent_dro,0,4,0.0
2.185,persistent_dro,0,5,0.0
2.185,persistent_dro,0,6,0.0
2.185,persistent_dro,0,7,0.0
2.185,persistent_dro,0,8,0.0
2.185,persistent_dro,0,9,0.0
2.185,persistent_dro,0,10,0.0
2.185,persistent_dro,0,11,0.0
2.185,persistent_dro,0,12,0.0
2.19,myopic,2597,1,0.2
2.19,myopic,2597,2,0.0
2.19,myopic,2597,3,0.0
2.19,myopic,2597,4,0.2
2.19,myopic,2597,5,0.0
2.19,myopic,2597,6,0.0
2.19,myopic,2597,7,0.2
2.19,myopic,2597,8,0.0
2.19,myopic,2597,9,0.0
2.19,myopic,2597,10,0.2
2.19,myopic,2597,11,0.0
2.19,myopic,2597,12,0.0
2.19,nominal_dynamic,3,1,0.0
2.19,nominal_dynamic,3,2,0.0
2.19,nominal_dynamic,3,3,0.0
2.19,nominal_dynamic,3,4,0.0
2.19,nominal_dynamic,3,5,0.0
2.19,nominal_dynamic,3,6,0.0
2.19,nominal_dynamic,3,7,0.0
2.19,nominal_dynamic,3,8,0.0
2.19,nominal_dynamic,3,9,0.0
2.19,nominal_dynamic,3,10,0.0
2.19,nominal_dynamic,3,11,0.0
2.19,nominal_dynamic,3,12,0.3
2.19,persistent_dro,0,1,0.0
2.19,persistent_dro,0,2,0.0
2.19,persistent_dro,0,3,0.0
2.19,persistent_dro,0,4,0.0
2.19,persistent_dro,0,5,0.0
2.19,persistent_dro,0,6,0.0
2.19,persistent_dro,0,7,0.0
2.19,persistent_dro,0,8,0.0
2.19,persistent_dro,0,9,0.0
2.19,persistent_dro,0,10,0.0
2.19,persistent_dro,0,11,0.0
2.19,persistent_dro,0,12,0.0
2.195,myopic,3168,1,0.3
2.195,myopic,3168,2,0.0
2.195,myopic,3168,3,0.0
2.195,myopic,3168,4,0.3
2.195,myopic,3168,5,0.0
2.195,myopic,3168,6,0.0
2.195,myopic,3168,7,0.3
2.195,myopic,3168,8,0.0
2.195,myopic,3168,9,0.0
2.195,myopic,3168,10,0.3
