upc,product_name,discount_depth,support_count,support_panels,well_supported
1600066610,1600066610,0.0,3408,15,True
1600066610,1600066610,0.1,135,15,True
1600066610,1600066610,0.2,12,4,False
1600066610,1600066610,0.3,12,9,False
1600066590,1600066590,0.0,3461,15,True
1600066590,1600066590,0.1,125,15,True
1600066590,1600066590,0.2,13,4,False
1600066590,1600066590,0.3,7,5,False
3800000120,3800000120,0.0,3452,15,True
3800000120,3800000120,0.1,84,14,True
3800000120,3800000120,0.2,19,8,False
3800000120,3800000120,0.3,54,14,True
3800001520,3800001520,0.0,3626,15,True
3800001520,3800001520,0.1,64,14,True
3800001520,3800001520,0.2,17,11,False
3800001520,3800001520,0.3,6,4,False
3800000127,3800000127,0.0,3571,15,True
3800000127,3800000127,0.1,119,15,True
3800000127,3800000127,0.2,11,9,False
3800000127,3800000127,0.3,15,14,False
1600066510,1600066510,0.0,3753,15,True
1600066510,1600066510,0.1,63,13,True
1600066510,1600066510,0.2,4,4,False
1600066510,1600066510,0.3,6,5,False
3800001611,3800001611,0.0,3806,15,True
3800001611,3800001611,0.1,81,14,True
3800001611,3800001611,0.2,5,5,False
3800001611,3800001611,0.3,7,6,False
3800000110,3800000110,0.0,4018,15,True
3800000110,3800000110,0.1,34,12,True
3800000110,3800000110,0.2,1,1,False
3800000110,3800000110,0.3,0,0,False
