grid_name,upc,product_name,alpha_1_promotions,alpha_2_promotions,alpha_4_promotions
supported,1600066610,1600066610,2.61,2.65,2.66
supported,1600066590,1600066590,2.52,2.58,2.6
supported,3800000120,3800000120,1.62,1.65,1.65
supported,3800001520,3800001520,2.54,2.75,2.82
supported,3800000127,3800000127,2.12,2.18,2.19
supported,1600066510,1600066510,1.84,1.9,1.91
supported,3800001611,3800001611,2.43,2.65,2.68
supported,3800000110,3800000110,1.4,1.52,1.56
unrestricted,1600066610,1600066610,2.63,2.71,2.71
unrestricted,1600066590,1600066590,2.52,2.61,2.63
unrestricted,3800000120,3800000120,1.62,1.65,1.65
unrestricted,3800001520,3800001520,2.68,2.88,2.94
unrestricted,3800000127,3800000127,2.12,2.21,2.23
unrestricted,1600066510,1600066510,1.84,1.91,1.93
unrestricted,3800001611,3800001611,2.44,2.7,2.72
unrestricted,3800000110,3800000110,1.39,1.47,1.5
