grid_name,upc,product_name,alpha_1_promotions,alpha_2_promotions,alpha_4_promotions,decision_horizon,washout_horizon,evaluation_horizon
empirical_w0,1600066610,1600066610,2.61,2.65,2.66,12,0,12
empirical_w0,1600066590,1600066590,2.52,2.58,2.6,12,0,12
empirical_w0,3800000120,3800000120,1.62,1.65,1.65,12,0,12
empirical_w0,3800001520,3800001520,2.54,2.75,2.82,12,0,12
empirical_w0,3800000127,3800000127,2.12,2.18,2.19,12,0,12
empirical_w0,1600066510,1600066510,1.84,1.9,1.91,12,0,12
empirical_w0,3800001611,3800001611,2.43,2.65,2.68,12,0,12
empirical_w0,3800000110,3800000110,1.4,1.52,1.56,12,0,12
empirical_w4,1600066610,1600066610,2.65,2.66,2.66,12,4,16
empirical_w4,1600066590,1600066590,2.58,2.59,2.6,12,4,16
empirical_w4,3800000120,3800000120,1.65,1.65,1.65,12,4,16
empirical_w4,3800001520,3800001520,2.77,2.81,2.84,12,4,16
empirical_w4,3800000127,3800000127,2.19,2.19,2.2,12,4,16
empirical_w4,1600066510,1600066510,1.9,1.91,1.91,12,4,16
empirical_w4,3800001611,3800001611,2.66,2.67,2.68,12,4,16
empirical_w4,3800000110,3800000110,1.53,1.55,1.57,12,4,16
empirical_w6,1600066610,1600066610,2.66,2.66,2.66,12,6,18
empirical_w6,1600066590,1600066590,2.59,2.59,2.6,12,6,18
empirical_w6,3800000120,3800000120,1.65,1.65,1.66,12,6,18
empirical_w6,3800001520,3800001520,2.8,2.82,2.85,12,6,18
empirical_w6,3800000127,3800000127,2.19,2.19,2.2,12,6,18
empirical_w6,1600066510,1600066510,1.9,1.91,1.91,12,6,18
empirical_w6,3800001611,3800001611,2.67,2.68,2.68,12,6,18
empirical_w6,3800000110,3800000110,1.54,1.56,1.58,12,6,18
common_0_30_w6,1600066610,1600066610,2.71,2.71,2.72,12,6,18
common_0_30_w6,1600066590,1600066590,2.62,2.63,2.64,12,6,18
common_0_30_w6,3800000120,3800000120,1.65,1.65,1.66,12,6,18
common_0_30_w6,3800001520,3800001520,2.92,2.94,2.96,12,6,18
common_0_30_w6,3800000127,3800000127,2.23,2.23,2.23,12,6,18
common_0_30_w6,1600066510,1600066510,1.92,1.93,1.93,12,6,18
common_0_30_w6,3800001611,3800001611,2.72,2.72,2.73,12,6,18
common_0_30_w6,3800000110,3800000110,1.49,1.5,1.51,12,6,18
