upc,train_units,train_rows,train_weeks,train_stores,train_promotion_rows,train_regular_rows,train_imputed_share,train_distinct_prices,train_log_price_sd,train_price_p10,train_price_p90,calibration_rows,calibration_weeks,calibration_stores,test_rows,test_weeks,test_stores,train_relative_price_range,adequate_train_weeks,adequate_calibration_weeks,adequate_test_weeks,adequate_store_coverage,adequate_distinct_prices,adequate_promotions,adequate_regular_rows,acceptable_imputation,adequate_price_range,eligible
1600066610,1145958,17431,214,86,2749,13236,0.01072801330962079,169,0.09457216841198747,2.9,3.41,6166.0,72.0,86.0,5935.0,72.0,85.0,0.17586206896551726,True,True,True,True,True,True,True,True,True,True
1600066510,1047983,17423,214,86,1884,14885,0.014291453825403203,140,0.09646812573804765,2.04,2.49,6166.0,72.0,86.0,5938.0,72.0,85.0,0.22058823529411775,True,True,True,True,True,True,True,True,True,True
3800000120,1019806,17431,214,86,2837,13185,0.00780219149790603,103,0.10840010993094758,1.9,2.29,6166.0,72.0,86.0,5938.0,72.0,85.0,0.20526315789473681,True,True,True,True,True,True,True,True,True,True
1600066590,833856,17431,214,86,2303,13892,0.012621192128965637,170,0.10808418029979058,2.79,3.55,6166.0,72.0,86.0,5938.0,72.0,85.0,0.2724014336917562,True,True,True,True,True,True,True,True,True,True
3800000110,741516,17431,214,86,714,16378,0.017899145201078537,67,0.07958057156694605,1.49,1.79,6166.0,72.0,86.0,5938.0,72.0,85.0,0.20134228187919456,True,True,True,True,True,True,True,True,True,True
3800001520,721180,17431,214,86,2045,14041,0.008949572600539269,95,0.0843000884607462,3.05,3.69,6165.0,72.0,86.0,5938.0,72.0,85.0,0.20983606557377055,True,True,True,True,True,True,True,True,True,True
3800000127,703863,17431,214,86,2105,14379,0.008777465435144283,143,0.10155885182132317,2.41,2.79,6166.0,72.0,86.0,5938.0,72.0,85.0,0.15767634854771773,True,True,True,True,True,True,True,True,True,True
3800001611,655460,17431,214,86,1720,14885,0.008777465435144283,89,0.08593576982962027,2.49,3.1,6162.0,72.0,86.0,5938.0,72.0,85.0,0.2449799196787148,True,True,True,True,True,True,True,True,True,True
1600065850,638515,17431,214,86,2347,13805,0.011990132522517355,154,0.0985403488822132,2.73,3.45,6166.0,72.0,86.0,5938.0,72.0,85.0,0.2637362637362639,True,True,True,True,True,True,True,True,True,True
3800001510,626879,17431,214,86,974,16042,0.01130170386093741,99,0.0677746937486534,2.5,2.95,6166.0,72.0,86.0,5936.0,72.0,85.0,0.18000000000000016,True,True,True,True,True,True,True,True,True,True
3800001720,607083,17431,214,86,2599,13688,0.009408525041592565,134,0.08541497905263398,2.95,3.66,6166.0,72.0,86.0,5938.0,72.0,85.0,0.2406779661016949,True,True,True,True,True,True,True,True,True,True
1600066310,587465,17431,214,86,1981,14731,0.017784407090815215,139,0.10040232090832042,1.98,2.49,6158.0,72.0,86.0,5937.0,72.0,85.0,0.2575757575757578,True,True,True,True,True,True,True,True,True,True
3800000510,582702,17431,214,86,773,16539,0.007343239056852734,83,0.088456679909252,1.89,2.36,6166.0,72.0,86.0,5909.0,72.0,85.0,0.2486772486772486,True,True,True,True,True,True,True,True,True,True
3800001011,563211,17431,214,86,2261,14216,0.00866272732488096,113,0.0967949108087904,2.85,3.66,6166.0,72.0,86.0,5938.0,72.0,85.0,0.28421052631578947,True,True,True,True,True,True,True,True,True,True
1600067440,524883,17431,214,86,1959,14663,0.012391715908438988,166,0.10308330857546691,2.9,3.59,6162.0,72.0,86.0,5938.0,72.0,85.0,0.23793103448275854,True,True,True,True,True,True,True,True,True,True
4300010521,517661,17431,214,86,2517,13572,0.014858585279100453,101,0.09492403673658781,2.89,3.66,6166.0,72.0,86.0,5938.0,72.0,85.0,0.26643598615916964,True,True,True,True,True,True,True,True,True,True
1600068870,517444,17431,214,86,1989,14391,0.011818025357122367,173,0.10932497648123542,2.99,3.73,6166.0,72.0,86.0,5938.0,72.0,85.0,0.24749163879598646,True,True,True,True,True,True,True,True,True,True
3800000535,502090,17431,214,86,1532,15250,0.014227525672652171,138,0.09139073278428562,3.08,3.79,6166.0,72.0,86.0,5938.0,72.0,85.0,0.23051948051948057,True,True,True,True,True,True,True,True,True,True
3800000820,500127,17431,214,86,2325,14121,0.027594515518329414,127,0.09454276400175735,2.89,3.46,6166.0,72.0,86.0,5937.0,72.0,85.0,0.19723183391003452,True,True,True,True,True,True,True,True,True,True
3800001527,494396,17431,214,86,1395,15527,0.009810108427514199,154,0.07401166821744437,3.6,4.36,6166.0,72.0,86.0,5938.0,72.0,85.0,0.21111111111111125,True,True,True,True,True,True,True,True,True,True
3800000828,469261,17431,214,86,1613,15039,0.010441168033962481,102,0.06351283522459933,3.46,4.15,6166.0,72.0,86.0,5938.0,72.0,85.0,0.19942196531791923,True,True,True,True,True,True,True,True,True,True
1600066660,459970,17431,214,86,1981,14502,0.020308645516608343,127,0.08221752141787204,3.59,4.36,6166.0,72.0,86.0,5930.0,72.0,85.0,0.21448467966573825,True,True,True,True,True,True,True,True,True,True
3800003500,450645,17431,214,86,1890,14732,0.017727038035683554,83,0.07267928666732118,2.49,2.99,6166.0,72.0,86.0,5930.0,72.0,85.0,0.20080321285140568,True,True,True,True,True,True,True,True,True,True
1600066210,448108,17431,214,86,3113,13005,0.011588549136595721,123,0.09280308967066152,2.81,3.52,6166.0,72.0,86.0,5938.0,72.0,85.0,0.25266903914590744,True,True,True,True,True,True,True,True,True,True
1600068050,445296,17431,214,86,1420,15349,0.00808903677356434,142,0.12974529258334488,2.39,3.13,6166.0,72.0,86.0,4760.0,63.0,85.0,0.3096234309623429,True,True,True,True,True,True,True,True,True,True
1600066110,437442,17431,214,86,1955,14740,0.009465894096724227,118,0.09968170926743299,1.99,2.49,6166.0,72.0,86.0,5697.0,69.0,85.0,0.2512562814070354,True,True,True,True,True,True,True,True,True,True
3800001912,409345,17431,214,86,1315,15522,0.007515346222247719,91,0.08026108806410001,2.49,3.05,6166.0,72.0,86.0,5938.0,72.0,85.0,0.2248995983935742,True,True,True,True,True,True,True,True,True,True
3800000810,407688,17367,214,86,1054,16106,0.07139978119421891,112,0.08720795322727244,2.29,2.75,6166.0,72.0,86.0,5937.0,72.0,85.0,0.20087336244541487,True,True,True,True,True,True,True,True,True,True
3828125049,406208,15047,181,86,3151,10730,0.011430850003322921,58,0.09385880882571547,1.2,1.49,6166.0,72.0,86.0,5938.0,72.0,85.0,0.2416666666666667,True,True,True,True,True,True,True,True,True,True
1600062750,403702,17423,214,86,2369,14206,0.019284853354760947,158,0.0973104434116946,2.86,3.59,6166.0,72.0,86.0,5937.0,72.0,85.0,0.2552447552447552,True,True,True,True,True,True,True,True,True,True
3000006430,403560,17431,214,86,2870,13551,0.013539097011072228,148,0.12717429674604389,2.34,3.03,6166.0,72.0,86.0,5938.0,72.0,85.0,0.29487179487179493,True,True,True,True,True,True,True,True,True,True
4300012971,385739,16940,207,86,2367,13137,0.045454545454545456,108,0.08862932454920601,2.75,3.49,6166.0,72.0,86.0,5938.0,72.0,85.0,0.26909090909090927,True,True,True,True,True,True,True,True,True,True
1600066750,382590,17431,214,86,2176,14213,0.01967758591016006,165,0.0808852075996512,3.85,4.55,6154.0,72.0,86.0,5938.0,72.0,85.0,0.18181818181818166,True,True,True,True,True,True,True,True,True,True
3000006610,382220,17431,214,86,3678,12161,0.012735930239228959,188,0.15137812939231507,2.49,3.31,6166.0,72.0,86.0,5934.0,72.0,85.0,0.3293172690763051,True,True,True,True,True,True,True,True,True,True
3000006110,373735,17431,214,86,1731,14787,0.010785382364752452,99,0.11511287880488998,3.07,3.73,6162.0,72.0,86.0,5938.0,72.0,85.0,0.21498371335504896,True,True,True,True,True,True,True,True,True,True
1600067970,372720,17380,214,86,1558,15311,0.014556962025316455,124,0.08154108860997601,3.43,4.15,6152.0,72.0,86.0,5938.0,72.0,85.0,0.20991253644314867,True,True,True,True,True,True,True,True,True,True
3800001621,372480,17431,214,86,731,16342,0.008605358269749298,113,0.09408915532575905,3.4,4.36,6166.0,72.0,86.0,5938.0,72.0,85.0,0.2823529411764707,True,True,True,True,True,True,True,True,True,True
3000006560,365145,17431,214,86,3008,13049,0.03734725489071195,200,0.15556503732211127,2.49,3.35,6166.0,72.0,86.0,5936.0,72.0,85.0,0.3453815261044175,True,True,True,True,True,True,True,True,True,True
1600065700,364783,17431,214,86,1916,14630,0.010211691813435833,123,0.09068902869335156,2.9,3.57,6162.0,72.0,86.0,5938.0,72.0,85.0,0.2310344827586206,True,True,True,True,True,True,True,True,True,True
4300012951,360237,16868,206,86,2294,13268,0.04950201565093668,107,0.08865875398876308,2.75,3.49,6166.0,72.0,86.0,5686.0,69.0,85.0,0.26909090909090927,True,True,True,True,True,True,True,True,True,True
3800004900,353430,17431,214,86,1585,15134,0.010555906144225805,141,0.09880753236964422,2.79,3.56,6162.0,72.0,86.0,5937.0,72.0,85.0,0.2759856630824373,True,True,True,True,True,True,True,True,True,True
