relative_week,mean_effect,observations,events,ci_lower,ci_upper
-4,0.048867962656909736,507,516,-0.000798538826006817,0.09154166026220943
-3,-0.033750405648274875,516,516,-0.048643740161932035,-0.01986393452948515
-2,-0.00602515456027986,516,516,-0.019003157928545157,0.00625374416287724
-1,0.039775560208554724,516,516,0.025875279737214034,0.0573990616888306
0,1.3414707296792012,516,516,1.251899003052289,1.4355961181511774
1,-0.025312993174789206,516,516,-0.056874548282038216,0.002155156631792205
2,0.03301649216598836,516,516,0.00650430237708006,0.06532818419316067
3,0.009341023032864574,516,516,-0.01637566712318663,0.041003372383980205
4,0.056077434719584124,506,516,0.021829092631566793,0.09440505407147191
5,0.0310428877983253,491,516,-0.002007822197101979,0.06537474426965081
6,-0.0499491890864712,489,516,-0.07789537189544644,-0.017347015243725963
