relative_week,depth_group,mean_effect,observations,events,ci_lower,ci_upper
-4,deep,0.030410185254096223,97,98,0.00016006914995261179,0.06067326666002155
-3,deep,-0.011342540870608106,98,98,-0.034490726027361064,0.011941754310751208
-2,deep,0.018764286559563782,98,98,-0.007420064350195665,0.04435114553548717
-1,deep,-0.007421745688955677,98,98,-0.033899296218679695,0.022504689435251437
0,deep,0.04891169607932277,98,98,-0.03676856869915958,0.1440527955756369
1,deep,-0.074934935632094,98,98,-0.13778144175544438,-0.002783848090279758
2,deep,0.0212430875440791,98,98,-0.03849728568693228,0.08203458440570713
3,deep,-0.008159476564497973,98,98,-0.05338496822055755,0.04663781936559406
4,deep,0.03774674881845341,96,98,-0.015415689063084445,0.08793267589247514
5,deep,-0.02533545521187195,98,98,-0.0732587916290385,0.023324096192955814
6,deep,0.009898529523421806,94,98,-0.029632363538395518,0.050829467964210236
-4,medium,0.004440992949118289,95,98,-0.03507007506490962,0.038102616405802536
-3,medium,0.018785052016295132,98,98,-0.008677479900419423,0.044419425235302464
-2,medium,0.008740783409031448,98,98,-0.01721220936780351,0.034527587154008464
-1,medium,-0.027525835425326585,98,98,-0.052932938956181466,0.00022484094107003082
0,medium,5.502926418123254e-05,98,98,-0.05829365339548722,0.06876293764424819
1,medium,-0.03857143967020752,98,98,-0.08628296894030688,0.015004249098826344
2,medium,-0.023595316008827746,98,98,-0.058839002034561445,0.019496472110374342
3,medium,-0.0008930900795340627,98,98,-0.04285048424994081,0.03849204606518694
4,medium,0.015777254615816666,95,98,-0.0280102656450854,0.07351443010767841
5,medium,0.029956860059435875,80,98,-0.006897913211569076,0.06508886653287536
6,medium,0.03329980452926007,80,98,-0.010914275617382925,0.07509821159298537
-4,shallow,-0.006874402839625042,98,99,-0.041608468120303686,0.02458979748350855
-3,shallow,-0.003343737015359206,99,99,-0.02352142451435557,0.019199512712053463
-2,shallow,-0.016550079808364794,99,99,-0.03846390874263507,0.010193448713570492
-1,shallow,0.019893816823723993,99,99,-0.010370046142097654,0.042966773367838856
0,shallow,0.0016822485199295173,99,99,-0.06296680929639406,0.059894867591337726
1,shallow,0.016104416151555886,99,99,-0.023562767453975165,0.06304551044110386
2,shallow,-0.007374842335708369,99,99,-0.04586310015874525,0.028266532000765662
3,shallow,-6.056517995173485e-05,99,99,-0.03641203407087989,0.03324634934462552
4,shallow,-0.011631239364087389,95,99,-0.03822894197102341,0.01175339365434243
5,shallow,-0.014162044322956672,96,99,-0.06225646041846785,0.02821705847170142
6,shallow,-0.013403726320871293,97,99,-0.043043103784286746,0.0176744417606037
