relative_week,mean_effect,observations,events,ci_lower,ci_upper
-4,-0.0022635919264393685,507,516,-0.014729054602231449,0.011183073799300823
-3,0.0032731589159160626,516,516,-0.007834977932478523,0.013174411248449943
-2,0.008172849241094812,516,516,-0.002347211932563162,0.016846877590581538
-1,-0.011446008157010877,516,516,-0.021423510753676295,-0.000751206288111164
0,0.014799250168206036,516,516,-0.01425518888167527,0.04621714297199209
1,-0.02192669617305155,516,516,-0.04033916565225714,6.86594079315756e-05
2,0.002069352554360198,516,516,-0.014660457023624118,0.022005360633554082
3,0.0004558697253061215,516,516,-0.01504611994123598,0.016297478470908306
4,0.014739092594351473,506,516,-0.0007855398195724277,0.02952872692168983
5,-0.001967043185311829,491,516,-0.017912381399241745,0.014836794096078234
6,0.009120114426081195,489,516,-0.009769394049734925,0.02548169365477442
