evaluation_split,model,n,r_squared,adjusted_r_squared,support_coefficient,support_ci_lower,support_ci_upper,support_p_value,incremental_adjusted_r_squared_vs_geometry
policy_calibration,base_fixed_effects,7761,0.34573462086030193,0.3437896675553759,,,,,-0.2036760862629189
policy_calibration,reference_distance,7761,0.46944950553908626,0.46780353709711864,,,,,-0.07966221672117613
policy_calibration,historical_geometry,7761,0.5489819768080788,0.5474657538182948,,,,,0.0
policy_calibration,support_only,7761,0.34860496257296625,0.34658408862024537,-0.023422659170465678,-0.03747543479069904,-0.009369883550232315,0.001087715599395065,-0.2008816651980494
policy_calibration,full_support_geometry,7761,0.5489937877416655,0.5474190861082794,-0.0016243304698744885,-0.012563282490677216,0.00931462155092824,0.771023760060436,-4.666771001538006e-05
test,base_fixed_effects,8350,0.29561258910512467,0.2936667675280671,,,,,-0.15266132537011956
test,reference_distance,8350,0.42014160109841714,0.4184699372457279,,,,,-0.02785815565245875
test,historical_geometry,8350,0.4480523077244709,0.44632809289818665,,,,,0.0
test,support_only,8350,0.3034090922840086,0.30140090227978233,-0.04197014208559464,-0.05693427305811131,-0.027006011113077967,3.859938186457545e-08,-0.1449271906184043
test,full_support_geometry,8350,0.45113160689981835,0.44935085147880116,-0.03013642213381377,-0.04482168691923185,-0.015451157348395686,5.766990719259289e-05,0.003022758580614515
