rho_multiplier,rho,dro_alpha_threshold,evaluation_alpha,schedule_id,promotion_count,total_depth,mean_profit,p10_profit,mean_regret,maximum_regret
0.0,0.0,2.19,2.19,2,1,0.2,208.93732559247013,208.0078733253479,1.0802281633456539,8.077549791336054
0.0,0.0,2.19,2.24,21,2,0.6,210.14412135162354,206.87286224365235,2.0058797804534474,7.57076457977297
0.0,0.0,2.19,2.25,903,4,1.2,210.9811407686987,203.4268970489502,1.7601784306361028,16.416671752929688
0.0,0.0,2.19,2.34,2928,4,1.2,219.24568604177506,210.92220272064208,0.3239398902292069,10.35565795898438
0.0,0.0,2.19,2.5,3117,4,1.2,233.96658831335603,224.40831851959229,0.06102338482315342,1.2824382781982422
0.25,0.22714616590746828,2.205,2.19,0,0,0.0,208.8800201416016,208.88002014160156,1.1375336142142598,9.519469871520982
0.25,0.22714616590746828,2.205,2.24,3,1,0.3,210.0635656463623,208.55202453613282,2.0864354857146816,11.199568595886234
0.25,0.22714616590746828,2.205,2.25,3,1,0.3,210.28819333314897,208.7579083442688,2.4531258661858732,11.996237754821777
0.25,0.22714616590746828,2.205,2.34,2820,4,1.2,219.23954577354834,210.91901802062986,0.3300801584559193,10.25051193237303
0.25,0.22714616590746828,2.205,2.5,3117,4,1.2,233.96658831335603,224.40831851959229,0.06102338482315342,1.2824382781982422
0.5,0.45429233181493656,2.215,2.19,0,0,0.0,208.8800201416016,208.88002014160156,1.1375336142142598,9.519469871520982
0.5,0.45429233181493656,2.215,2.24,3,1,0.3,210.0635656463623,208.55202453613282,2.0864354857146816,11.199568595886234
0.5,0.45429233181493656,2.215,2.25,3,1,0.3,210.28819333314897,208.7579083442688,2.4531258661858732,11.996237754821777
0.5,0.45429233181493656,2.215,2.34,2820,4,1.2,219.23954577354834,210.91901802062986,0.3300801584559193,10.25051193237303
0.5,0.45429233181493656,2.215,2.5,3117,4,1.2,233.96658831335603,224.40831851959229,0.06102338482315342,1.2824382781982422
0.75,0.6814384977224048,2.23,2.19,0,0,0.0,208.8800201416016,208.88002014160156,1.1375336142142598,9.519469871520982
0.75,0.6814384977224048,2.23,2.24,3,1,0.3,210.0635656463623,208.55202453613282,2.0864354857146816,11.199568595886234
0.75,0.6814384977224048,2.23,2.25,3,1,0.3,210.28819333314897,208.7579083442688,2.4531258661858732,11.996237754821777
0.75,0.6814384977224048,2.23,2.34,2820,4,1.2,219.23954577354834,210.91901802062986,0.3300801584559193,10.25051193237303
0.75,0.6814384977224048,2.23,2.5,2928,4,1.2,233.95352722219502,224.40738582611084,0.074084475984176,1.2234954833984375
1.0,0.9085846636298731,2.24,2.19,0,0,0.0,208.8800201416016,208.88002014160156,1.1375336142142598,9.519469871520982
1.0,0.9085846636298731,2.24,2.24,3,1,0.3,210.0635656463623,208.55202453613282,2.0864354857146816,11.199568595886234
1.0,0.9085846636298731,2.24,2.25,3,1,0.3,210.28819333314897,208.7579083442688,2.4531258661858732,11.996237754821777
1.0,0.9085846636298731,2.24,2.34,2820,4,1.2,219.23954577354834,210.91901802062986,0.3300801584559193,10.25051193237303
1.0,0.9085846636298731,2.24,2.5,2928,4,1.2,233.95352722219502,224.40738582611084,0.074084475984176,1.2234954833984375
1.25,1.1357308295373414,2.25,2.19,0,0,0.0,208.8800201416016,208.88002014160156,1.1375336142142598,9.519469871520982
1.25,1.1357308295373414,2.25,2.24,0,0,0.0,208.8800201416016,208.88002014160156,3.2699809904754282,14.774208488464382
1.25,1.1357308295373414,2.25,2.25,3,1,0.3,210.28819333314897,208.7579083442688,2.4531258661858732,11.996237754821777
1.25,1.1357308295373414,2.25,2.34,2820,4,1.2,219.23954577354834,210.91901802062986,0.3300801584559193,10.25051193237303
1.25,1.1357308295373414,2.25,2.5,2928,4,1.2,233.95352722219502,224.40738582611084,0.074084475984176,1.2234954833984375
1.5,1.3628769954448097,2.26,2.19,0,0,0.0,208.8800201416016,208.88002014160156,1.1375336142142598,9.519469871520982
1.5,1.3628769954448097,2.26,2.24,0,0,0.0,208.8800201416016,208.88002014160156,3.2699809904754282,14.774208488464382
1.5,1.3628769954448097,2.26,2.25,0,0,0.0,208.8800201416016,208.88002014160156,3.8612990577332673,15.825156211853027
1.5,1.3628769954448097,2.26,2.34,21,2,0.6,214.65540252024329,211.06355606079103,4.914223411760971,12.956143989563003
1.5,1.3628769954448097,2.26,2.5,2928,4,1.2,233.95352722219502,224.40738582611084,0.074084475984176,1.2234954833984375
2.0,1.8171693272597462,2.28,2.19,0,0,0.0,208.8800201416016,208.88002014160156,1.1375336142142598,9.519469871520982
2.0,1.8171693272597462,2.28,2.24,0,0,0.0,208.8800201416016,208.88002014160156,3.2699809904754282,14.774208488464382
2.0,1.8171693272597462,2.28,2.25,0,0,0.0,208.8800201416016,208.88002014160156,3.8612990577332673,15.825156211853027
2.0,1.8171693272597462,2.28,2.34,3,1,0.3,212.30984251422882,210.61086261749267,7.259783417775473,19.166260185241697
2.0,1.8171693272597462,2.28,2.5,2928,4,1.2,233.95352722219502,224.40738582611084,0.074084475984176,1.2234954833984375
