evaluation_split,support_state,diagnostic,n,spearman_rho,p_value
policy_calibration,post_promotion,local_support,405,0.13137060634389516,0.00811871528255489
policy_calibration,post_promotion,nearest_historical_distance,405,-0.05522539938699836,0.26751605088809105
policy_calibration,post_promotion,outside_historical_range,405,-0.4658731038644836,3.2789909104636023e-23
policy_calibration,post_promotion,reference_distance,405,-0.5027784329256284,2.475580247858946e-27
policy_calibration,promotion,local_support,996,-0.23918392616627604,2.004351052361932e-14
policy_calibration,promotion,nearest_historical_distance,996,0.32662406202052036,3.429472274431232e-26
policy_calibration,promotion,outside_historical_range,996,-0.3455704471375647,2.581110663206219e-29
policy_calibration,promotion,reference_distance,996,-0.7044010732781576,3.8492665035079e-150
policy_calibration,regular,local_support,6360,-0.08876027197017908,1.3294944656267251e-12
policy_calibration,regular,nearest_historical_distance,6360,0.12557735593752678,8.948197146571104e-24
policy_calibration,regular,outside_historical_range,6360,-0.012941718776424868,0.30210146957460243
policy_calibration,regular,reference_distance,6360,-0.02423957609584631,0.05323610936167937
test,post_promotion,local_support,621,-0.4122631997869488,7.053226936586236e-27
test,post_promotion,nearest_historical_distance,621,0.4072990302388936,3.241716240427277e-26
test,post_promotion,outside_historical_range,621,-0.0878786408755991,0.028542365353124682
test,post_promotion,reference_distance,621,-0.6338301766576547,4.468894852357311e-71
test,promotion,local_support,1112,-0.05362646598352237,0.07385044041612059
test,promotion,nearest_historical_distance,1112,0.2867650380214101,1.7123445413573257e-22
test,promotion,outside_historical_range,1112,-0.22308945637344624,5.233198335015368e-14
test,promotion,reference_distance,1112,-0.7342988493254695,5.822584128269908e-189
test,regular,local_support,6617,0.02661254430591217,0.03040527801911413
test,regular,nearest_historical_distance,6617,0.5667277336419565,0.0
test,regular,outside_historical_range,6617,-0.0030455168431320154,0.8043733647112067
test,regular,reference_distance,6617,-0.029413607601357,0.016724276113847074
