risk_decile,n,mean_predicted_risk,empirical_q90_loss,coverage,promotion_indicator
1,747.0,9.390425349565179,13.256916638389635,0.8406961178045516,0
2,743.0,11.465948740613552,14.668294723542372,0.8640646029609691,0
3,743.0,12.675831988063656,14.285787136799563,0.8721399730820996,0
4,744.0,14.038985874689162,12.189760288693762,0.9206989247311828,0
5,744.0,15.177048479895733,17.061314829189843,0.8776881720430108,0
6,745.0,16.275320416230095,13.527412509454406,0.9208053691275168,0
7,743.0,17.579829233677597,16.461041617298388,0.9030955585464334,0
8,747.0,19.546119847900133,19.7075451421669,0.8982597054886211,0
9,742.0,22.945994638053286,19.811106234351584,0.9204851752021563,0
10,743.0,30.996360679262075,33.96993277659836,0.8936742934051144,0
1,116.0,91.85423715864246,1952.1202128471068,0.6637931034482759,1
2,115.0,136.54745368481346,129.63321856922482,0.9130434782608695,1
3,113.0,165.4993158239806,155.92847204654777,0.9203539823008849,1
4,116.0,202.38177273031275,199.57231371667888,0.9051724137931034,1
5,118.0,251.32564460170912,318.4301143531084,0.8728813559322034,1
6,121.0,330.0994293125113,522.4448635495711,0.8264462809917356,1
7,104.0,516.1415569544774,953.9629417743263,0.7980769230769231,1
8,114.0,799.5724613648453,332.98507303610774,0.956140350877193,1
9,125.0,1097.3006824797258,355.5454210906571,0.968,1
10,105.0,1957.8064156380892,263.96242173759424,1.0,1
