store,train_units,train_weeks,train_products,calibration_weeks,calibration_products,test_weeks,test_products,eligible
102,151213,205,8,72,8,72.0,8.0,True
73,146147,211,8,72,8,72.0,8.0,True
8,129225,210,8,72,8,72.0,8.0,True
80,126035,212,8,72,8,72.0,8.0,True
124,123995,200,8,72,8,72.0,8.0,True
18,123884,206,8,72,8,72.0,8.0,True
128,119047,207,8,72,8,72.0,8.0,True
74,114509,210,8,72,8,72.0,8.0,True
111,111299,213,8,72,8,72.0,8.0,True
109,110500,208,8,72,8,72.0,8.0,True
122,108858,210,8,72,8,72.0,8.0,True
70,107624,207,8,72,8,72.0,8.0,True
132,107427,211,8,72,8,72.0,8.0,True
98,105420,207,8,72,8,72.0,8.0,True
114,104686,209,8,72,8,72.0,8.0,True
83,101673,213,8,72,8,72.0,8.0,True
100,100395,204,8,72,8,72.0,8.0,True
44,99648,206,8,72,8,72.0,8.0,True
101,98837,213,8,72,8,72.0,8.0,True
32,98046,204,8,72,8,72.0,8.0,True
105,97399,209,8,72,8,72.0,8.0,True
137,95757,154,8,72,8,72.0,8.0,True
112,95243,210,8,72,8,72.0,8.0,True
130,94685,172,8,72,8,72.0,8.0,True
78,94193,212,8,72,8,72.0,8.0,True
107,93989,206,8,72,8,72.0,8.0,True
126,93577,206,8,72,8,72.0,8.0,True
71,93191,209,8,72,8,72.0,8.0,True
53,92803,212,8,72,8,72.0,8.0,True
131,91477,205,8,72,8,72.0,8.0,True
81,90944,208,8,72,8,72.0,8.0,True
76,89437,213,8,72,8,72.0,8.0,True
113,88178,209,8,72,8,72.0,8.0,True
5,86559,210,8,72,8,72.0,8.0,True
123,86086,205,8,72,8,72.0,8.0,True
40,85253,201,8,72,8,72.0,8.0,True
12,84607,209,8,72,8,72.0,8.0,True
93,84131,198,8,72,8,72.0,8.0,True
115,82218,209,8,72,8,72.0,8.0,True
89,80646,206,8,72,8,72.0,8.0,True
84,80342,212,8,72,8,72.0,8.0,True
121,80177,210,8,72,8,72.0,8.0,True
59,78432,209,8,72,8,72.0,8.0,True
52,77996,208,8,72,8,72.0,8.0,True
14,77426,209,8,72,8,72.0,8.0,True
110,75557,206,8,72,8,72.0,8.0,True
103,72433,210,8,72,8,72.0,8.0,True
86,72362,210,8,72,8,72.0,8.0,True
21,71406,211,8,72,8,72.0,8.0,True
91,70665,211,8,72,8,72.0,8.0,True
94,69966,204,8,72,8,72.0,8.0,True
95,69702,206,8,72,8,72.0,8.0,True
104,68568,203,8,72,8,72.0,8.0,True
129,68323,187,8,72,8,72.0,8.0,True
77,67922,213,8,72,8,72.0,8.0,True
92,67598,208,8,72,8,72.0,8.0,True
72,66181,212,8,72,8,72.0,8.0,True
62,65717,213,8,72,8,72.0,8.0,True
2,65668,207,8,72,8,72.0,8.0,True
116,64986,207,8,72,8,72.0,8.0,True
90,64738,210,8,72,8,72.0,8.0,True
9,64273,207,8,72,8,72.0,8.0,True
68,62746,208,8,72,8,72.0,8.0,True
56,61701,211,8,72,8,72.0,8.0,True
75,61545,208,8,72,8,72.0,8.0,True
88,61331,209,8,72,8,72.0,8.0,True
33,60883,210,8,72,8,72.0,8.0,True
45,59088,213,8,72,8,44.0,8.0,True
119,58689,208,8,72,8,72.0,8.0,True
47,58068,205,8,72,8,72.0,8.0,True
117,57017,206,8,72,8,72.0,8.0,True
51,55735,199,8,72,8,72.0,8.0,True
54,55405,211,8,72,8,72.0,8.0,True
28,52003,210,8,72,8,72.0,8.0,True
118,51957,209,8,72,8,44.0,8.0,True
67,51021,192,8,72,8,72.0,8.0,True
106,49787,206,8,72,8,72.0,8.0,True
49,49112,209,8,72,8,44.0,8.0,True
48,48476,210,8,72,8,72.0,8.0,True
64,47038,199,8,72,8,44.0,8.0,True
134,39098,148,8,72,8,72.0,8.0,True
136,33968,141,8,72,8,72.0,8.0,True
133,32310,141,8,72,8,72.0,8.0,True
97,46917,209,8,64,8,2.0,8.0,False
50,44996,207,8,54,8,0.0,0.0,False
139,21452,60,8,72,8,72.0,8.0,False
