split,promotion_indicator,support_group,n,mean_support,mean_loss,median_loss,q90_loss,mean_predicted_risk,coverage
calibration,0,1,1423,16.27619435247964,5.871103037475893,2.241924577086298,14.53577708241312,15.295419734517992,0.9149683766690091
calibration,0,2,1423,33.617543562362094,7.336434808207865,2.5838368179829496,15.474942834506999,15.971824699519084,0.9079409697821503
calibration,0,3,1422,53.18522203077597,5.177305779583191,2.129167030697121,13.39765851417208,14.26868238447014,0.919831223628692
calibration,0,4,1423,86.8078636104328,6.921980574593371,2.715076511249471,18.03010524277438,16.258258180800038,0.9079409697821503
calibration,0,5,1423,136.39945991758265,6.915719144817212,2.973139294039253,19.031984014271767,17.714113712968775,0.9177793394237527
calibration,1,1,218,0.5839440757441223,94.41819036803942,35.78684970582124,284.7732609748291,287.26110647829245,0.944954128440367
calibration,1,2,218,1.8770374226480968,158.79168579985074,65.06123054197593,425.755317291514,402.63562515186436,0.944954128440367
calibration,1,3,217,4.470523002050698,133.3170014566332,56.30231019842489,390.1612111073863,282.92982249345766,0.9631336405529954
calibration,1,4,218,12.008842797669956,70.12110730118317,55.32177395262407,145.05828988235746,143.92559945461883,0.9678899082568807
calibration,1,5,218,21.577337498466072,89.5578258165104,70.24113518092413,175.08322057993246,165.80064304871462,0.9403669724770642
test,0,1,15,18.222375571270103,53.424484464638304,51.42072752698286,75.45578789258909,31.320719952773842,0.13333333333333333
test,0,2,6,37.146807164176835,18.741579965001353,15.477075522614559,36.83436889203452,22.136181667029366,0.6666666666666666
test,0,3,609,56.58427909726187,6.414101509278541,3.2632636039656298,16.903080198024874,12.76133747748423,0.8423645320197044
test,0,4,3040,90.69610869394647,9.782600407438107,2.848029881292625,20.568826645014724,12.735328004818061,0.819078947368421
test,0,5,3771,157.37161636328042,16.146370203643414,2.5791017806147423,15.813631726981312,10.652260960191938,0.7806947759215063
test,1,1,97,0.24275011731761337,637.3246935629082,278.56276699438797,1934.8378932084613,320.9558825961718,0.5876288659793815
test,1,2,112,1.9816260504573653,183.65451180920195,46.15295124431681,451.72979324888564,263.8931839005492,0.8660714285714286
test,1,3,367,4.694620741067703,99.5358304713364,39.371413617616696,229.53881864902064,389.29874972117517,0.9128065395095368
test,1,4,239,12.390750892134923,151.75869355754432,86.36203666295046,220.15188052184524,144.64151871502045,0.7824267782426778
test,1,5,332,22.48973700430229,293.69454176103386,94.71855665131844,518.0763716099058,131.1971104667713,0.5963855421686747
