threshold,support_state,n,observed_price_coverage
0.5,all,7761,0.983507279989692
0.5,regular,6360,1.0
0.5,promotion,996,0.9006024096385542
0.5,post_promotion,405,0.928395061728395
1.0,all,7761,0.973070480608169
1.0,regular,6360,0.9988993710691824
1.0,promotion,996,0.8453815261044176
1.0,post_promotion,405,0.8814814814814815
2.0,all,7761,0.9408581368380363
2.0,regular,6360,0.9959119496855345
2.0,promotion,996,0.6867469879518072
2.0,post_promotion,405,0.7012345679012346
3.0,all,7761,0.9188248936992656
3.0,regular,6360,0.9919811320754717
3.0,promotion,996,0.5933734939759037
3.0,post_promotion,405,0.5703703703703704
5.0,all,7761,0.8918953743074346
5.0,regular,6360,0.9828616352201258
5.0,promotion,996,0.49899598393574296
5.0,post_promotion,405,0.42962962962962964
7.5,all,7761,0.8663831980414894
7.5,regular,6360,0.970440251572327
7.5,promotion,996,0.42570281124497994
7.5,post_promotion,405,0.3160493827160494
10.0,all,7761,0.8409998711506249
10.0,regular,6360,0.9550314465408805
10.0,promotion,996,0.3755020080321285
10.0,post_promotion,405,0.19506172839506172
15.0,all,7761,0.7754155392346347
15.0,regular,6360,0.9061320754716982
15.0,promotion,996,0.2429718875502008
15.0,post_promotion,405,0.03209876543209877
20.0,all,7761,0.7033887385646179
20.0,regular,6360,0.8402515723270441
20.0,promotion,996,0.11546184738955824
20.0,post_promotion,405,0.0
30.0,all,7761,0.5758278572348924
30.0,regular,6360,0.7022012578616352
30.0,promotion,996,0.0030120481927710845
30.0,post_promotion,405,0.0
