upc,product_name,action,support_count,support_panels
1600066510,1600066510,0.0,3753,15
1600066510,1600066510,0.06,158,15
1600066510,1600066510,0.25,73,15
1600066510,1600066510,0.5,36,15
1600066590,1600066590,0.0,3461,15
1600066590,1600066590,0.06,244,15
1600066590,1600066590,0.25,71,15
1600066590,1600066590,0.5,55,15
1600066610,1600066610,0.0,3408,15
1600066610,1600066610,0.05,283,15
1600066610,1600066610,0.25,69,15
1600066610,1600066610,0.5,44,15
3800000110,3800000110,0.0,4018,15
3800000110,3800000110,0.07,117,15
3800000110,3800000110,0.09,34,12
3800000120,3800000120,0.0,3452,15
3800000120,3800000120,0.04,219,15
3800000120,3800000120,0.3,54,14
3800000120,3800000120,0.55,36,15
3800000127,3800000127,0.0,3571,15
3800000127,3800000127,0.05,121,15
3800000127,3800000127,0.3,15,14
3800000127,3800000127,0.5,30,15
3800001520,3800001520,0.0,3626,15
3800001520,3800001520,0.04,210,15
3800001520,3800001520,0.19,17,11
3800001520,3800001520,0.49,30,14
3800001611,3800001611,0.0,3806,15
3800001611,3800001611,0.05,172,15
3800001611,3800001611,0.09,81,14
3800001611,3800001611,0.4,23,15
