weekly_capacity,washout_horizon,evaluation_horizon,value_of_dynamic_optimization,VDO_change_from_no_washout,active_set_changed,product_week_timing_disagreement
1,0,12,1.4386499682107114,0.0,False,16
1,4,16,0.0,-1.4386499682107114,False,0
1,6,18,0.0,-1.4386499682107114,False,0
2,0,12,4.837896921920219,0.0,False,14
2,4,16,0.6661367916740346,-4.171760130246184,False,12
2,6,18,0.4423638635553288,-4.39553305836489,False,12
3,0,12,5.576558894602385,0.0,False,20
3,4,16,0.7622301016490383,-4.814328792953347,False,20
3,6,18,0.5067182175548623,-5.069840677047523,False,20
8,0,12,6.582762689208266,0.0,False,20
8,4,16,0.8528706575389151,-5.729892031669351,False,18
8,6,18,0.557087536151812,-6.025675153056454,False,18
