capacity,alpha_previous,alpha_current,vdo_previous,vdo_current,vdo_change,dynamic_changed_products,dynamic_changed_cells,myopic_changed_products,myopic_changed_cells
8,2.4,2.45,21.60725450841437,47.284155863444994,25.676901355030623,,0,3800001611,4
2,2.4,2.45,19.679326675087395,44.759411618630565,25.08008494354317,,0,3800001611,4
3,2.4,2.45,19.951465051589366,44.60051845306771,24.64905340147834,,0,3800001611,4
3,1.8,1.85,2.501644451968332,19.058565158259626,16.556920706291294,3800000120,2,1600066510,4
8,1.8,1.85,2.501644451968332,19.058565158259626,16.556920706291294,3800000120,2,1600066510,4
1,1.8,1.85,1.7154510720934013,17.59432423173621,15.878873159642808,,0,1600066510,4
2,1.8,1.85,2.501644451968332,18.166785371177866,15.665140919209534,3800000120,2,1600066510,4
8,2.8,2.85,54.96202922158636,69.33420917714193,14.372179955555566,3800001520,3,3800001520,4
2,2.55,2.6,48.26239281751896,34.46800327349774,-13.794389544021215,1600066590,1,,0
3,2.55,2.6,48.77560540182367,35.132312543472835,-13.643292858350833,1600066590,4,,0
1,1.85,1.9,17.59432423173621,4.41405566047888,-13.18026857125733,,0,1600066510|3800000110,16
8,1.85,1.9,19.058565158259626,6.167565849377752,-12.890999308881874,1600066510,1,,0
3,1.85,1.9,19.058565158259626,6.167565849377752,-12.890999308881874,1600066510,1,,0
2,1.85,1.9,18.166785371177866,5.458927059553844,-12.707858311624022,1600066510,1,1600066510|3800000110,16
8,2.55,2.6,53.2240049236425,40.733537643036925,-12.490467280605571,1600066590,4,,0
3,2.8,2.85,41.63429332076248,53.17197975390263,11.537686433140152,3800001520,2,3800001520,4
8,2.75,2.8,44.401331528431,54.96202922158636,10.560697693155362,3800001520,1,3800001520,4
3,2.75,2.8,31.830200588743992,41.63429332076248,9.80409273201849,,0,1600066610|3800000110|3800001520,20
8,2.5,2.55,43.81504131176234,53.2240049236425,9.408963611880154,,0,1600066590|3800001520,8
2,2.7,2.75,32.892368023897234,41.23571740313491,8.34334937923768,1600066590|1600066610|3800000110|3800000120,19,1600066610|3800000110,8
3,2.5,2.55,40.86338207053268,48.77560540182367,7.912223331290988,,0,1600066590|3800001520,8
8,2.1,2.15,11.301945781045106,18.950194328044745,7.648248546999639,,0,3800000127,4
3,2.1,2.15,11.301945781045106,18.489903568198315,7.187957787153209,,0,3800000127,4
2,2.1,2.15,10.100324156883289,17.212587305259603,7.112263148376314,,0,3800000127,4
2,2.5,2.55,41.415396099911504,48.26239281751896,6.846996717607453,,0,1600066590,4
3,2.9,2.95,45.00281788452048,38.780742285601264,-6.2220755989192185,3800001520,3,,0
