alpha,capacity,decision_horizon,washout_horizon,evaluation_horizon,dynamic_profit,myopic_profit,vdo,vdo_percent,dynamic_promotion_count,myopic_promotion_count,dynamic_binding_weeks,myopic_binding_weeks,dynamic_active_set,myopic_active_set,dynamic_schedule_signature,myopic_schedule_signature,best_second_gap,minimum_chosen_support,median_chosen_support,minimum_chosen_panels,maximum_terminal_state_dynamic,maximum_terminal_state_myopic,action_disagreements,status_disagreements,depth_disagreements,disagreement_rate,timing_shift_products,same_action_multiset_products,dynamic_active_products,myopic_active_products,active_set_equal,economic_profile_mode,dynamic_schedule_signature_previous,myopic_schedule_signature_previous,dynamic_active_set_previous,myopic_active_set_previous,dynamic_schedule_change,myopic_schedule_change,dynamic_active_set_change,myopic_active_set_change,any_policy_boundary,relative_best_second_gap
1.4,1,12,12,24,3302.580211445339,3298.8965702730966,3.68364117224246,0.11166282706273245,0,4,0,4,,3800000110,f3eb7b0be14f7709,42e76e9c79c43d55,0.5735545465395262,,,,0.0,0.013526449437718196,4,4,0,0.041666666666666664,0,7,0,1,False,weekly_predicted_demand_fixed_product_price_cost,,,,,False,False,False,False,False,0.00017366861963013947
1.45,1,12,12,24,3302.580211445339,3299.894648763419,2.685562681920146,0.08138328546114393,0,4,0,4,,3800000110,f3eb7b0be14f7709,42e76e9c79c43d55,0.4687724536361202,,,,0.0,0.013526449437718196,4,4,0,0.041666666666666664,0,7,0,1,False,weekly_predicted_demand_fixed_product_price_cost,f3eb7b0be14f7709,42e76e9c79c43d55,,3800000110,False,False,False,False,False,0.0001419412773114652
1.5,1,12,12,24,3302.580211445339,3300.892727253741,1.6874841915978323,0.05112205488124954,0,4,0,4,,3800000110,f3eb7b0be14f7709,42e76e9c79c43d55,0.2832773114810152,,,,0.0,0.013526449437718196,4,4,0,0.041666666666666664,0,7,0,1,False,weekly_predicted_demand_fixed_product_price_cost,f3eb7b0be14f7709,42e76e9c79c43d55,,3800000110,False,False,False,False,False,8.577454394575989e-05
1.55,1,12,12,24,3302.580211445339,3301.8908057440635,0.6894057012755184,0.020879118718166226,0,4,0,4,,3800000110,f3eb7b0be14f7709,42e76e9c79c43d55,0.05380836776930664,,,,0.0,0.013526449437718196,4,4,0,0.041666666666666664,0,7,0,1,False,weekly_predicted_demand_fixed_product_price_cost,f3eb7b0be14f7709,42e76e9c79c43d55,,3800000110,False,False,False,False,False,1.6292826918428723e-05
1.6,1,12,12,24,3303.280474676416,3302.888884234386,0.3915904420300649,0.011855998059736002,4,4,4,4,3800000110,3800000110,ff1473f1073f8fda,42e76e9c79c43d55,0.0028170733912702417,34.0,34.0,12.0,0.014448856725249693,0.013526449437718196,8,8,0,0.08333333333333333,1,8,1,1,True,weekly_predicted_demand_fixed_product_price_cost,f3eb7b0be14f7709,42e76e9c79c43d55,,3800000110,True,False,True,False,True,8.528108384578508e-07
1.65,1,12,12,24,3304.436139577557,3301.9634886555996,2.472650921957211,0.07488425993965049,7,8,7,8,3800000110|3800000120,3800000110|3800000120,9ef482c288a3fa5e,065bbdaadc1a48e4,0.18353844131706865,34.0,34.0,12.0,0.014297545058477974,0.013526449437718196,12,11,1,0.125,1,7,2,2,True,weekly_predicted_demand_fixed_product_price_cost,ff1473f1073f8fda,42e76e9c79c43d55,3800000110,3800000110,True,True,True,True,True,5.554304382487853e-05
1.7,1,12,12,24,3318.727148739996,3318.021212413846,0.7059363261500948,0.02127582317765019,8,8,8,8,3800000110|3800000120,3800000110|3800000120,193aece090c2cd66,31d6a143a361d336,0.039931907907430286,34.0,35.0,12.0,0.015153702460347458,0.014448856151103733,16,16,0,0.16666666666666666,2,8,2,2,True,weekly_predicted_demand_fixed_product_price_cost,9ef482c288a3fa5e,065bbdaadc1a48e4,3800000110|3800000120,3800000110|3800000120,True,True,False,False,True,1.2032296153840495e-05
1.75,1,12,12,24,3335.2030813624583,3334.0100192475343,1.1930621149240324,0.03578459896750098,8,8,8,8,3800000110|3800000120,3800000110|3800000120,193aece090c2cd66,31d6a143a361d336,0.002334369755772059,34.0,35.0,12.0,0.015153702460347458,0.014448856151103733,16,16,0,0.16666666666666666,2,8,2,2,True,weekly_predicted_demand_fixed_product_price_cost,193aece090c2cd66,31d6a143a361d336,3800000110|3800000120,3800000110|3800000120,False,False,False,False,False,6.999183254587452e-07
1.8,1,12,12,24,3351.714277153316,3349.9988260812224,1.7154510720934013,0.05120751263367187,8,8,8,8,3800000110|3800000120,3800000110|3800000120,fc8a35a5ede2e99f,31d6a143a361d336,0.035263168394976674,34.0,35.0,12.0,0.015305014127119177,0.014448856151103733,12,12,0,0.125,2,8,2,2,True,weekly_predicted_demand_fixed_product_price_cost,193aece090c2cd66,31d6a143a361d336,3800000110|3800000120,3800000110|3800000120,True,False,False,False,True,1.0520935103372372e-05
1.85,1,12,12,24,3368.227807313929,3350.633483082193,17.59432423173621,0.5251044114664394,8,12,8,12,3800000110|3800000120,1600066510|3800000110|3800000120,fc8a35a5ede2e99f,3aa17b2ad5f4d4a9,0.0728607065466349,34.0,35.0,12.0,0.015305014127119177,0.025248477006211148,16,16,0,0.16666666666666666,2,7,2,3,False,weekly_predicted_demand_fixed_product_price_cost,fc8a35a5ede2e99f,31d6a143a361d336,3800000110|3800000120,3800000110|3800000120,False,True,False,True,True,2.16317632638807e-05
1.9,1,12,12,24,3384.7413374745424,3380.3272818140636,4.41405566047888,0.13058071874360233,8,12,8,12,3800000110|3800000120,1600066510|3800000110|3800000120,fc8a35a5ede2e99f,9e35470d1483fe45,0.11045824469783838,34.0,35.0,12.0,0.015305014127119177,0.02345055820396392,12,12,0,0.125,2,7,2,3,False,weekly_predicted_demand_fixed_product_price_cost,fc8a35a5ede2e99f,3aa17b2ad5f4d4a9,3800000110|3800000120,1600066510|3800000110|3800000120,False,True,False,False,True,3.26341760520627e-05
1.95,1,12,12,24,3411.875996748304,3410.6782715126687,1.1977252356350618,0.03511692221570518,11,12,11,12,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,38a5e43ee04f0c03,9e35470d1483fe45,0.06927992458076915,34.0,36.0,12.0,0.024977340860717148,0.02345055820396392,19,19,0,0.19791666666666666,2,7,3,3,True,weekly_predicted_demand_fixed_product_price_cost,fc8a35a5ede2e99f,9e35470d1483fe45,3800000110|3800000120,1600066510|3800000110|3800000120,True,False,True,False,True,2.030552243012247e-05
2.0,1,12,12,24,3442.2115696619157,3441.0292612112744,1.182308450641358,0.034359151314661426,11,12,11,12,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,38a5e43ee04f0c03,9e35470d1483fe45,0.08105690598313231,34.0,36.0,12.0,0.024977340860717148,0.02345055820396392,19,19,0,0.19791666666666666,2,7,3,3,True,weekly_predicted_demand_fixed_product_price_cost,38a5e43ee04f0c03,9e35470d1483fe45,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,False,False,False,False,2.3547915153598037e-05
2.05,1,12,12,24,3472.5471425755277,3471.380250909879,1.1668916656485635,0.03361463110653784,11,12,11,12,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,38a5e43ee04f0c03,9e35470d1483fe45,0.09283388738595022,34.0,36.0,12.0,0.024977340860717148,0.02345055820396392,19,19,0,0.19791666666666666,2,7,3,3,True,weekly_predicted_demand_fixed_product_price_cost,38a5e43ee04f0c03,9e35470d1483fe45,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,False,False,False,False,2.6733657909996562e-05
2.1,1,12,12,24,3502.8827154891396,3501.7312406084848,1.1514748806548596,0.03288301704315753,11,12,11,12,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,38a5e43ee04f0c03,9e35470d1483fe45,0.10461086878876813,34.0,36.0,12.0,0.024977340860717148,0.02345055820396392,19,19,0,0.19791666666666666,2,7,3,3,True,weekly_predicted_demand_fixed_product_price_cost,38a5e43ee04f0c03,9e35470d1483fe45,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,False,False,False,False,2.986422249486031e-05
2.15,1,12,12,24,3533.2182884027516,3532.08223030709,1.1360580956616104,0.03216397641916842,11,12,11,12,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,38a5e43ee04f0c03,9e35470d1483fe45,0.11638785019113129,34.0,36.0,12.0,0.024977340860717148,0.02345055820396392,19,19,0,0.19791666666666666,2,7,3,3,True,weekly_predicted_demand_fixed_product_price_cost,38a5e43ee04f0c03,9e35470d1483fe45,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,False,False,False,False,3.2941030157450676e-05
2.2,1,12,12,24,3563.5538613163635,3562.433220005695,1.1206413106683613,0.03145718786741411,11,12,11,12,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,38a5e43ee04f0c03,9e35470d1483fe45,0.1281648315939492,34.0,36.0,12.0,0.024977340860717148,0.02345055820396392,19,19,0,0.19791666666666666,2,7,3,3,True,weekly_predicted_demand_fixed_product_price_cost,38a5e43ee04f0c03,9e35470d1483fe45,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,False,False,False,False,3.596545375256531e-05
2.24,1,12,12,24,3588.946864529944,3582.4256426838083,6.5212218461356315,0.1820336971809468,12,12,12,12,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,0d3d6f33221a3265,e744b0494e50348d,0.22788518655943335,30.0,36.0,12.0,0.024977340860717148,0.02345055820396392,18,18,0,0.1875,2,6,4,4,True,weekly_predicted_demand_fixed_product_price_cost,38a5e43ee04f0c03,9e35470d1483fe45,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,True,True,True,True,True,6.349639466988326e-05
2.25,1,12,12,24,3595.328312575739,3587.7406419428808,7.587670632858135,0.21148882793125087,12,12,12,12,1600066510|3800000110|3800000120|3800000127,1600066510|3800000120|3800000127,0d3d6f33221a3265,e58d5814db899666,0.2167792273980922,30.0,36.0,12.0,0.024977340860717148,0.02345055820396392,18,18,0,0.1875,2,6,4,3,False,weekly_predicted_demand_fixed_product_price_cost,0d3d6f33221a3265,e744b0494e50348d,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,True,False,True,True,6.029469593634657e-05
2.3,1,12,12,24,3627.9244840297356,3624.145211099058,3.7792729306775072,0.10428039470116611,12,12,12,12,1600066510|3800000110|3800000120|3800000127,1600066510|3800000120|3800000127,1f8e8461faef9cce,e58d5814db899666,0.11579233668226152,30.0,36.0,12.0,0.024977340860717148,0.02345055820396392,18,18,0,0.1875,2,6,4,3,False,weekly_predicted_demand_fixed_product_price_cost,0d3d6f33221a3265,e58d5814db899666,1600066510|3800000110|3800000120|3800000127,1600066510|3800000120|3800000127,True,False,False,False,True,3.191696442193984e-05
