alpha,capacity,decision_horizon,washout_horizon,evaluation_horizon,dynamic_profit,myopic_profit,vdo,vdo_percent,dynamic_promotion_count,myopic_promotion_count,dynamic_binding_weeks,myopic_binding_weeks,dynamic_active_set,myopic_active_set,dynamic_schedule_signature,myopic_schedule_signature,best_second_gap,minimum_chosen_support,median_chosen_support,minimum_chosen_panels,maximum_terminal_state_dynamic,maximum_terminal_state_myopic,action_disagreements,status_disagreements,depth_disagreements,disagreement_rate,timing_shift_products,same_action_multiset_products,dynamic_active_products,myopic_active_products,active_set_equal,economic_profile_mode,vdo_change_from_previous
2.24,1,12,0,12,2035.033343602485,2026.8494564588254,8.183887143659604,0.4037738036034476,12,12,12,12,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,0d3d6f33221a3265,e744b0494e50348d,,30.0,36.0,12.0,0.5924418163309652,0.26433592933293576,18,18,0,0.1875,2,6,4,4,True,weekly_predicted_demand_fixed_product_price_cost,
2.24,1,12,4,16,2610.0688039445668,2603.3736047492234,6.695199195343321,0.2571739677751036,12,12,12,12,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,0d3d6f33221a3265,e744b0494e50348d,,30.0,36.0,12.0,0.07463737229356733,0.0590277417560826,18,18,0,0.1875,2,6,4,4,True,weekly_predicted_demand_fixed_product_price_cost,-1.488687948316283
2.24,1,12,6,18,2847.724918068162,2841.0896314318115,6.635286636350429,0.23354724761029355,12,12,12,12,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,0d3d6f33221a3265,e744b0494e50348d,,30.0,36.0,12.0,0.04818865105585053,0.04160845188648805,18,18,0,0.1875,2,6,4,4,True,weekly_predicted_demand_fixed_product_price_cost,-0.05991255899289172
2.24,1,12,8,20,3067.2772706270307,3060.68317901908,6.594091607950759,0.2154450892909505,12,12,12,12,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,0d3d6f33221a3265,e744b0494e50348d,,30.0,36.0,12.0,0.036184578777378185,0.032761999521074836,18,18,0,0.1875,2,6,4,4,True,weekly_predicted_demand_fixed_product_price_cost,-0.041195028399670264
2.24,1,12,10,22,3321.4254510777673,3314.872178666947,6.553272410820227,0.1976930649994348,12,12,12,12,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,0d3d6f33221a3265,e744b0494e50348d,,30.0,36.0,12.0,0.029453302869899767,0.027320296043767466,18,18,0,0.1875,2,6,4,4,True,weekly_predicted_demand_fixed_product_price_cost,-0.04081919713053139
2.24,1,12,12,24,3588.946864529944,3582.4256426838083,6.5212218461356315,0.1820336971809468,12,12,12,12,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,0d3d6f33221a3265,e744b0494e50348d,,30.0,36.0,12.0,0.024977340860717148,0.02345055820396392,18,18,0,0.1875,2,6,4,4,True,weekly_predicted_demand_fixed_product_price_cost,-0.032050564684595884
2.24,2,12,0,12,2051.3284793046673,2033.8663532285773,17.462126076090044,0.8585680198883526,16,16,8,8,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,2c5a2409573e62d2,0eaca84592ac2cd7,,30.0,35.0,12.0,0.5830478251287147,0.2509532731177301,28,28,0,0.2916666666666667,4,8,4,4,True,weekly_predicted_demand_fixed_product_price_cost,
2.24,2,12,4,16,2624.834732201711,2610.3094935780127,14.525238623698442,0.5564565680596117,16,16,8,8,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,2c5a2409573e62d2,0eaca84592ac2cd7,,30.0,35.0,12.0,0.06505971316000002,0.05057386568944261,28,28,0,0.2916666666666667,4,8,4,4,True,weekly_predicted_demand_fixed_product_price_cost,-2.936887452391602
2.24,2,12,6,18,2862.3003585856563,2847.932982344238,14.367376241418242,0.5044843516504355,16,16,8,8,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,2c5a2409573e62d2,0eaca84592ac2cd7,,30.0,35.0,12.0,0.04160845188648805,0.03656160616958786,28,28,0,0.2916666666666667,4,8,4,4,True,weekly_predicted_demand_fixed_product_price_cost,-0.1578623822802001
2.24,2,12,8,20,3081.7613070509374,3067.464009858056,14.29729719288116,0.4660950266061232,16,16,8,8,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,2c5a2409573e62d2,0eaca84592ac2cd7,,30.0,35.0,12.0,0.032761999521074836,0.029770041030075006,28,28,0,0.2916666666666667,4,8,4,4,True,weekly_predicted_demand_fixed_product_price_cost,-0.07007904853708169
2.24,2,12,10,22,3335.8284818127727,3321.579826799995,14.248655012777817,0.4289722287513093,16,16,8,8,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,2c5a2409573e62d2,0eaca84592ac2cd7,,30.0,35.0,12.0,0.027320296043767466,0.025248477006211148,28,28,0,0.2916666666666667,4,8,4,4,True,weekly_predicted_demand_fixed_product_price_cost,-0.04864218010334298
2.24,2,12,12,24,3603.2793686182977,3589.0655566673186,14.213811950979107,0.39603099265140085,16,16,8,8,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,2c5a2409573e62d2,0eaca84592ac2cd7,,30.0,35.0,12.0,0.02345055820396392,0.02185912509775417,28,28,0,0.2916666666666667,4,8,4,4,True,weekly_predicted_demand_fixed_product_price_cost,-0.03484306179871055
2.24,3,12,0,12,2053.0483006702234,2032.9908632364811,20.05743743374228,0.986597519765103,16,16,3,4,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,4e5c3e7073ed1e83,f52795452204f0ac,,30.0,35.0,12.0,0.5830478251287147,0.15305613905955218,22,22,0,0.22916666666666666,4,8,4,4,True,weekly_predicted_demand_fixed_product_price_cost,
2.24,3,12,4,16,2625.138197173183,2610.0281723617345,15.110024811448511,0.5789219048074838,16,16,3,4,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,f0990f9a587e09e5,f52795452204f0ac,,30.0,35.0,12.0,0.06505971316000002,0.04865278479225311,20,20,0,0.20833333333333334,3,8,4,4,True,weekly_predicted_demand_fixed_product_price_cost,-4.947412622293768
2.24,3,12,6,18,2862.6217398641884,2847.691917121221,14.92982274296719,0.5242780180399569,16,16,3,4,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,f0990f9a587e09e5,f52795452204f0ac,,30.0,35.0,12.0,0.04160845188648805,0.03656160616958786,20,20,0,0.20833333333333334,3,8,4,4,True,weekly_predicted_demand_fixed_product_price_cost,-0.18020206848132148
2.24,3,12,8,20,3082.0919522432323,3067.2381100113184,14.853842231913859,0.48427418084796314,16,16,3,4,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,f0990f9a587e09e5,f52795452204f0ac,,30.0,35.0,12.0,0.032761999521074836,0.029770041030075006,20,20,0,0.20833333333333334,3,8,4,4,True,weekly_predicted_demand_fixed_product_price_cost,-0.0759805110533307
2.24,3,12,10,22,3336.167634908618,3321.363474390285,14.804160518332992,0.4457253965873352,16,16,3,4,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,f0990f9a587e09e5,f52795452204f0ac,,30.0,35.0,12.0,0.027320296043767466,0.025248477006211148,20,20,0,0.20833333333333334,3,8,4,4,True,weekly_predicted_demand_fixed_product_price_cost,-0.049681713580866926
2.24,3,12,12,24,3603.624974903033,3588.8559062068616,14.769068696171416,0.41152581998704874,16,16,3,4,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,f0990f9a587e09e5,f52795452204f0ac,,30.0,35.0,12.0,0.02345055820396392,0.02185912509775417,20,20,0,0.20833333333333334,3,8,4,4,True,weekly_predicted_demand_fixed_product_price_cost,-0.03509182216157569
2.24,8,12,0,12,2053.0483006702234,2031.7330708299405,21.315229840282882,1.0491156612209815,16,16,0,0,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,4e5c3e7073ed1e83,11ffdc4466f6ca0b,,30.0,35.0,12.0,0.5830478251287147,0.15305613905955218,28,28,0,0.2916666666666667,4,8,4,4,True,weekly_predicted_demand_fixed_product_price_cost,
2.24,8,12,4,16,2625.2887627229575,2608.9219580983577,16.36680462459981,0.6273397551734191,16,16,0,0,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,03d38d7135d96a3f,11ffdc4466f6ca0b,,30.0,35.0,12.0,0.0590277417560826,0.04865278479225311,28,28,0,0.2916666666666667,4,8,4,4,True,weekly_predicted_demand_fixed_product_price_cost,-4.9484252156830735
2.24,8,12,6,18,2862.8330571380666,2846.6001071076826,16.232950030384018,0.5702574797862168,16,16,0,0,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,03d38d7135d96a3f,11ffdc4466f6ca0b,,30.0,35.0,12.0,0.04160845188648805,0.03656160616958786,28,28,0,0.2916666666666667,4,8,4,4,True,weekly_predicted_demand_fixed_product_price_cost,-0.1338545942157907
2.24,8,12,8,20,3082.323543421696,3066.15484909605,16.1686943256459,0.5273280418440929,16,16,0,0,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,03d38d7135d96a3f,11ffdc4466f6ca0b,,30.0,35.0,12.0,0.032761999521074836,0.029770041030075006,28,28,0,0.2916666666666667,4,8,4,4,True,weekly_predicted_demand_fixed_product_price_cost,-0.06425570473811604
2.24,8,12,10,22,3336.410803351314,3320.288724088933,16.122079262380794,0.4855625700684989,16,16,0,0,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,03d38d7135d96a3f,11ffdc4466f6ca0b,,30.0,35.0,12.0,0.027320296043767466,0.025248477006211148,28,28,0,0.2916666666666667,4,8,4,4,True,weekly_predicted_demand_fixed_product_price_cost,-0.04661506326510789
2.24,8,12,12,24,3603.8756614299655,3587.7879458788593,16.087715551106157,0.4484020737509149,16,16,0,0,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,03d38d7135d96a3f,11ffdc4466f6ca0b,,30.0,35.0,12.0,0.02345055820396392,0.02185912509775417,28,28,0,0.2916666666666667,4,8,4,4,True,weekly_predicted_demand_fixed_product_price_cost,-0.034363711274636444
